report_date,yesterday_purchase,week1_purchase,week2_purchase,week3_purchase,week4_purchase,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_redeem,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14
20130828,49273164,45762636,39066415,24953363,122942064,0,0,1,0,0,0,0,,,23573930,25699234.0,35250058.0,5160071.0,40147476.0,17845428.0,7925038.0,27392525.0,25699234.0,35250058.0,5160071.0,40147476.0,17845428.0,7925038.0,27392525.0
20130829,57249467,26545809,29238678,44702970,61905830,0,0,0,1,0,0,0,,,68685109,-11435642.0,25699234.0,35250058.0,5160071.0,40147476.0,17845428.0,7925038.0,-11435642.0,25699234.0,35250058.0,5160071.0,40147476.0,17845428.0,7925038.0
20130830,31008331,33855284,54635823,46197838,73104389,0,0,0,0,1,0,0,,,29996101,1012230.0,-11435642.0,25699234.0,35250058.0,5160071.0,40147476.0,17845428.0,1012230.0,-11435642.0,25699234.0,35250058.0,5160071.0,40147476.0,17845428.0
20130831,29172174,54574111,15688245,44403831,31370682,0,0,0,0,0,1,0,,,17631447,11540727.0,1012230.0,-11435642.0,25699234.0,35250058.0,5160071.0,40147476.0,11540727.0,1012230.0,-11435642.0,25699234.0,35250058.0,5160071.0,40147476.0
20130901,27720016,17586501,45069353,42840984,45251520,0,0,0,0,0,0,1,,,12893797,14826219.0,11540727.0,1012230.0,-11435642.0,25699234.0,35250058.0,5160071.0,14826219.0,11540727.0,1012230.0,-11435642.0,25699234.0,35250058.0,5160071.0
20130902,60276302,52044963,48319110,33901418,51533056,1,0,0,0,0,0,0,,,18155299,42121003.0,14826219.0,11540727.0,1012230.0,-11435642.0,25699234.0,35250058.0,42121003.0,14826219.0,11540727.0,1012230.0,-11435642.0,25699234.0,35250058.0
20130903,42168974,49273164,51304276,45856548,27348705,0,1,0,0,0,0,0,,,27437595,14731379.0,42121003.0,14826219.0,11540727.0,1012230.0,-11435642.0,25699234.0,14731379.0,42121003.0,14826219.0,11540727.0,1012230.0,-11435642.0,25699234.0
20130904,58345539,57249467,45762636,39066415,24953363,0,0,1,0,0,0,0,,,20886668,37458871.0,14731379.0,42121003.0,14826219.0,11540727.0,1012230.0,-11435642.0,37458871.0,14731379.0,42121003.0,14826219.0,11540727.0,1012230.0,-11435642.0
20130905,55301172,31008331,26545809,29238678,44702970,0,0,0,1,0,0,0,,,23688242,31612930.0,37458871.0,14731379.0,42121003.0,14826219.0,11540727.0,1012230.0,31612930.0,37458871.0,14731379.0,42121003.0,14826219.0,11540727.0,1012230.0
20130906,42500904,29172174,33855284,54635823,46197838,0,0,0,0,1,0,0,,,17937329,24563575.0,31612930.0,37458871.0,14731379.0,42121003.0,14826219.0,11540727.0,24563575.0,31612930.0,37458871.0,14731379.0,42121003.0,14826219.0,11540727.0
20130907,38650095,27720016,54574111,15688245,44403831,0,0,0,0,0,1,0,,,22744929,15905166.0,24563575.0,31612930.0,37458871.0,14731379.0,42121003.0,14826219.0,15905166.0,24563575.0,31612930.0,37458871.0,14731379.0,42121003.0,14826219.0
20130908,49801798,60276302,17586501,45069353,42840984,0,0,0,0,0,0,1,,,17830433,31971365.0,15905166.0,24563575.0,31612930.0,37458871.0,14731379.0,42121003.0,31971365.0,15905166.0,24563575.0,31612930.0,37458871.0,14731379.0,42121003.0
20130909,24810658,42168974,52044963,48319110,33901418,1,0,0,0,0,0,0,,,19393890,5416768.0,31971365.0,15905166.0,24563575.0,31612930.0,37458871.0,14731379.0,5416768.0,31971365.0,15905166.0,24563575.0,31612930.0,37458871.0,14731379.0
20130910,55565482,58345539,49273164,51304276,45856548,0,1,0,0,0,0,0,,,22529834,33035648.0,5416768.0,31971365.0,15905166.0,24563575.0,31612930.0,37458871.0,33035648.0,5416768.0,31971365.0,15905166.0,24563575.0,31612930.0,37458871.0
20130911,81305151,55301172,57249467,45762636,39066415,0,0,1,0,0,0,0,,,61880908,19424243.0,33035648.0,5416768.0,31971365.0,15905166.0,24563575.0,31612930.0,19424243.0,33035648.0,5416768.0,31971365.0,15905166.0,24563575.0,31612930.0
20130912,93077458,42500904,31008331,26545809,29238678,0,0,0,1,0,0,0,,,45646088,47431370.0,19424243.0,33035648.0,5416768.0,31971365.0,15905166.0,24563575.0,47431370.0,19424243.0,33035648.0,5416768.0,31971365.0,15905166.0,24563575.0
20130913,50035862,38650095,29172174,33855284,54635823,0,0,0,0,1,0,0,,,16797004,33238858.0,47431370.0,19424243.0,33035648.0,5416768.0,31971365.0,15905166.0,33238858.0,47431370.0,19424243.0,33035648.0,5416768.0,31971365.0,15905166.0
20130914,48041116,49801798,27720016,54574111,15688245,0,0,0,0,0,1,0,,,10624127,37416989.0,33238858.0,47431370.0,19424243.0,33035648.0,5416768.0,31971365.0,37416989.0,33238858.0,47431370.0,19424243.0,33035648.0,5416768.0,31971365.0
20130915,34379286,24810658,60276302,17586501,45069353,0,0,0,0,0,0,1,,,22263774,12115512.0,37416989.0,33238858.0,47431370.0,19424243.0,33035648.0,5416768.0,12115512.0,37416989.0,33238858.0,47431370.0,19424243.0,33035648.0,5416768.0
20130916,38956366,55565482,42168974,52044963,48319110,1,0,0,0,0,0,0,,,17385227,21571139.0,12115512.0,37416989.0,33238858.0,47431370.0,19424243.0,33035648.0,21571139.0,12115512.0,37416989.0,33238858.0,47431370.0,19424243.0,33035648.0
20130917,104399397,81305151,58345539,49273164,51304276,0,1,0,0,0,0,0,,,14276435,90122962.0,21571139.0,12115512.0,37416989.0,33238858.0,47431370.0,19424243.0,90122962.0,21571139.0,12115512.0,37416989.0,33238858.0,47431370.0,19424243.0
20130918,75209349,93077458,55301172,57249467,45762636,0,0,1,0,0,0,0,,,21022169,54187180.0,90122962.0,21571139.0,12115512.0,37416989.0,33238858.0,47431370.0,54187180.0,90122962.0,21571139.0,12115512.0,37416989.0,33238858.0,47431370.0
20130919,41969227,50035862,42500904,31008331,26545809,0,0,0,1,0,0,0,,,17777697,24191530.0,54187180.0,90122962.0,21571139.0,12115512.0,37416989.0,33238858.0,24191530.0,54187180.0,90122962.0,21571139.0,12115512.0,37416989.0,33238858.0
20130920,40861546,48041116,38650095,29172174,33855284,0,0,0,0,1,0,0,,,11095259,29766287.0,24191530.0,54187180.0,90122962.0,21571139.0,12115512.0,37416989.0,29766287.0,24191530.0,54187180.0,90122962.0,21571139.0,12115512.0,37416989.0
20130921,33601331,34379286,49801798,27720016,54574111,0,0,0,0,0,1,0,,,15710134,17891197.0,29766287.0,24191530.0,54187180.0,90122962.0,21571139.0,12115512.0,17891197.0,29766287.0,24191530.0,54187180.0,90122962.0,21571139.0,12115512.0
20130922,61641978,38956366,24810658,60276302,17586501,0,0,0,0,0,0,1,,,23219290,38422688.0,17891197.0,29766287.0,24191530.0,54187180.0,90122962.0,21571139.0,38422688.0,17891197.0,29766287.0,24191530.0,54187180.0,90122962.0,21571139.0
20130923,59188234,104399397,55565482,42168974,52044963,1,0,0,0,0,0,0,,,75805107,-16616873.0,38422688.0,17891197.0,29766287.0,24191530.0,54187180.0,90122962.0,-16616873.0,38422688.0,17891197.0,29766287.0,24191530.0,54187180.0,90122962.0
20130924,37338427,75209349,81305151,58345539,49273164,0,1,0,0,0,0,0,,,26564396,10774031.0,-16616873.0,38422688.0,17891197.0,29766287.0,24191530.0,54187180.0,10774031.0,-16616873.0,38422688.0,17891197.0,29766287.0,24191530.0,54187180.0
20130925,56008378,41969227,93077458,55301172,57249467,0,0,1,0,0,0,0,,,26722196,29286182.0,10774031.0,-16616873.0,38422688.0,17891197.0,29766287.0,24191530.0,29286182.0,10774031.0,-16616873.0,38422688.0,17891197.0,29766287.0,24191530.0
20130926,107206248,40861546,50035862,42500904,31008331,0,0,0,1,0,0,0,,,54563516,52642732.0,29286182.0,10774031.0,-16616873.0,38422688.0,17891197.0,29766287.0,52642732.0,29286182.0,10774031.0,-16616873.0,38422688.0,17891197.0,29766287.0
20130927,49684160,33601331,48041116,38650095,29172174,0,0,0,0,1,0,0,,,32334604,17349556.0,52642732.0,29286182.0,10774031.0,-16616873.0,38422688.0,17891197.0,17349556.0,52642732.0,29286182.0,10774031.0,-16616873.0,38422688.0,17891197.0
20130928,51076556,61641978,34379286,49801798,27720016,0,0,0,0,0,1,0,,,21422361,29654195.0,17349556.0,52642732.0,29286182.0,10774031.0,-16616873.0,38422688.0,29654195.0,17349556.0,52642732.0,29286182.0,10774031.0,-16616873.0,38422688.0
20130929,46758852,59188234,38956366,24810658,60276302,0,0,0,0,0,0,1,,,37660670,9098182.0,29654195.0,17349556.0,52642732.0,29286182.0,10774031.0,-16616873.0,9098182.0,29654195.0,17349556.0,52642732.0,29286182.0,10774031.0,-16616873.0
20130930,76038490,37338427,104399397,55565482,42168974,1,0,0,0,0,0,0,,,77461238,-1422748.0,9098182.0,29654195.0,17349556.0,52642732.0,29286182.0,10774031.0,-1422748.0,9098182.0,29654195.0,17349556.0,52642732.0,29286182.0,10774031.0
20131001,49151321,56008378,75209349,81305151,58345539,0,1,0,0,0,0,0,,,34100714,15050607.0,-1422748.0,9098182.0,29654195.0,17349556.0,52642732.0,29286182.0,15050607.0,-1422748.0,9098182.0,29654195.0,17349556.0,52642732.0,29286182.0
20131002,22858568,107206248,41969227,93077458,55301172,0,0,1,0,0,0,0,,,8869210,13989358.0,15050607.0,-1422748.0,9098182.0,29654195.0,17349556.0,52642732.0,13989358.0,15050607.0,-1422748.0,9098182.0,29654195.0,17349556.0,52642732.0
20131003,15700008,49684160,40861546,50035862,42500904,0,0,0,1,0,0,0,,,10393202,5306806.0,13989358.0,15050607.0,-1422748.0,9098182.0,29654195.0,17349556.0,5306806.0,13989358.0,15050607.0,-1422748.0,9098182.0,29654195.0,17349556.0
20131004,7251212,51076556,33601331,48041116,38650095,0,0,0,0,1,0,0,,,14700007,-7448795.0,5306806.0,13989358.0,15050607.0,-1422748.0,9098182.0,29654195.0,-7448795.0,5306806.0,13989358.0,15050607.0,-1422748.0,9098182.0,29654195.0
20131005,22868589,46758852,61641978,34379286,49801798,0,0,0,0,0,1,0,,,12046540,10822049.0,-7448795.0,5306806.0,13989358.0,15050607.0,-1422748.0,9098182.0,10822049.0,-7448795.0,5306806.0,13989358.0,15050607.0,-1422748.0,9098182.0
20131006,21245166,76038490,59188234,38956366,24810658,0,0,0,0,0,0,1,,,13019900,8225266.0,10822049.0,-7448795.0,5306806.0,13989358.0,15050607.0,-1422748.0,8225266.0,10822049.0,-7448795.0,5306806.0,13989358.0,15050607.0,-1422748.0
20131007,40318288,49151321,37338427,104399397,55565482,1,0,0,0,0,0,0,,,14733990,25584298.0,8225266.0,10822049.0,-7448795.0,5306806.0,13989358.0,15050607.0,25584298.0,8225266.0,10822049.0,-7448795.0,5306806.0,13989358.0,15050607.0
20131008,56730939,22858568,56008378,75209349,81305151,0,1,0,0,0,0,0,,,82606688,-25875749.0,25584298.0,8225266.0,10822049.0,-7448795.0,5306806.0,13989358.0,-25875749.0,25584298.0,8225266.0,10822049.0,-7448795.0,5306806.0,13989358.0
20131009,115047417,15700008,107206248,41969227,93077458,0,0,1,0,0,0,0,,,60758100,54289317.0,-25875749.0,25584298.0,8225266.0,10822049.0,-7448795.0,5306806.0,54289317.0,-25875749.0,25584298.0,8225266.0,10822049.0,-7448795.0,5306806.0
20131010,67339813,7251212,49684160,40861546,50035862,0,0,0,1,0,0,0,,,26611167,40728646.0,54289317.0,-25875749.0,25584298.0,8225266.0,10822049.0,-7448795.0,40728646.0,54289317.0,-25875749.0,25584298.0,8225266.0,10822049.0,-7448795.0
20131011,93642539,22868589,51076556,33601331,48041116,0,0,0,0,1,0,0,,,36132959,57509580.0,40728646.0,54289317.0,-25875749.0,25584298.0,8225266.0,10822049.0,57509580.0,40728646.0,54289317.0,-25875749.0,25584298.0,8225266.0,10822049.0
20131012,68845671,21245166,46758852,61641978,34379286,0,0,0,0,0,1,0,,,31646212,37199459.0,57509580.0,40728646.0,54289317.0,-25875749.0,25584298.0,8225266.0,37199459.0,57509580.0,40728646.0,54289317.0,-25875749.0,25584298.0,8225266.0
20131013,95312628,40318288,76038490,59188234,38956366,0,0,0,0,0,0,1,,,36724035,58588593.0,37199459.0,57509580.0,40728646.0,54289317.0,-25875749.0,25584298.0,58588593.0,37199459.0,57509580.0,40728646.0,54289317.0,-25875749.0,25584298.0
20131014,40381173,56730939,49151321,37338427,104399397,1,0,0,0,0,0,0,,,46888025,-6506852.0,58588593.0,37199459.0,57509580.0,40728646.0,54289317.0,-25875749.0,-6506852.0,58588593.0,37199459.0,57509580.0,40728646.0,54289317.0,-25875749.0
20131015,158158044,115047417,22858568,56008378,75209349,0,1,0,0,0,0,0,,,41243215,116914829.0,-6506852.0,58588593.0,37199459.0,57509580.0,40728646.0,54289317.0,116914829.0,-6506852.0,58588593.0,37199459.0,57509580.0,40728646.0,54289317.0
20131016,108776071,67339813,15700008,107206248,41969227,0,0,1,0,0,0,0,,,58286788,50489283.0,116914829.0,-6506852.0,58588593.0,37199459.0,57509580.0,40728646.0,50489283.0,116914829.0,-6506852.0,58588593.0,37199459.0,57509580.0,40728646.0
20131017,156977224,93642539,7251212,49684160,40861546,0,0,0,1,0,0,0,,,40682099,116295125.0,50489283.0,116914829.0,-6506852.0,58588593.0,37199459.0,57509580.0,116295125.0,50489283.0,116914829.0,-6506852.0,58588593.0,37199459.0,57509580.0
20131018,73354575,68845671,22868589,51076556,33601331,0,0,0,0,1,0,0,,,45517673,27836902.0,116295125.0,50489283.0,116914829.0,-6506852.0,58588593.0,37199459.0,27836902.0,116295125.0,50489283.0,116914829.0,-6506852.0,58588593.0,37199459.0
