attr1,attr2,attr3,attr4,attr5,attr6,attr7
69767293,45384964,41526920,26386662,75956142,38818586,43374531
150055888,69767293,45384964,41526920,26386662,75956142,38818586
64404852,150055888,69767293,45384964,41526920,26386662,75956142
35153018,64404852,150055888,69767293,45384964,41526920,26386662
-102648217,35153018,64404852,150055888,69767293,45384964,41526920
99093148,-102648217,35153018,64404852,150055888,69767293,45384964
104074209,99093148,-102648217,35153018,64404852,150055888,69767293
106010997,104074209,99093148,-102648217,35153018,64404852,150055888
71732246,106010997,104074209,99093148,-102648217,35153018,64404852
47037197,71732246,106010997,104074209,99093148,-102648217,35153018
63437132,47037197,71732246,106010997,104074209,99093148,-102648217
79405022,63437132,47037197,71732246,106010997,104074209,99093148
105929738,79405022,63437132,47037197,71732246,106010997,104074209
65896927,105929738,79405022,63437132,47037197,71732246,106010997
160869054,65896927,105929738,79405022,63437132,47037197,71732246
72517059,160869054,65896927,105929738,79405022,63437132,47037197
-3214128,72517059,160869054,65896927,105929738,79405022,63437132
37166919,-3214128,72517059,160869054,65896927,105929738,79405022
96793009,37166919,-3214128,72517059,160869054,65896927,105929738
101477978,96793009,37166919,-3214128,72517059,160869054,65896927
-26373574,101477978,96793009,37166919,-3214128,72517059,160869054
45446947,-26373574,101477978,96793009,37166919,-3214128,72517059
48593702,45446947,-26373574,101477978,96793009,37166919,-3214128
18226708,48593702,45446947,-26373574,101477978,96793009,37166919
83788996,18226708,48593702,45446947,-26373574,101477978,96793009
100722334,83788996,18226708,48593702,45446947,-26373574,101477978
71248883,100722334,83788996,18226708,48593702,45446947,-26373574
161993852,71248883,100722334,83788996,18226708,48593702,45446947
77063403,161993852,71248883,100722334,83788996,18226708,48593702
105871155,77063403,161993852,71248883,100722334,83788996,18226708
62580721,105871155,77063403,161993852,71248883,100722334,83788996
73883753,62580721,105871155,77063403,161993852,71248883,100722334
62257316,73883753,62580721,105871155,77063403,161993852,71248883
203043628,62257316,73883753,62580721,105871155,77063403,161993852
189898333,203043628,62257316,73883753,62580721,105871155,77063403
54728249,189898333,203043628,62257316,73883753,62580721,105871155
63278932,54728249,189898333,203043628,62257316,73883753,62580721
61588795,63278932,54728249,189898333,203043628,62257316,73883753
59721798,61588795,63278932,54728249,189898333,203043628,62257316
101963574,59721798,61588795,63278932,54728249,189898333,203043628
103707405,101963574,59721798,61588795,63278932,54728249,189898333
99425120,103707405,101963574,59721798,61588795,63278932,54728249
31655430,99425120,103707405,101963574,59721798,61588795,63278932
-17011339,31655430,99425120,103707405,101963574,59721798,61588795
31908620,-17011339,31655430,99425120,103707405,101963574,59721798
83681452,31908620,-17011339,31655430,99425120,103707405,101963574
10443620,83681452,31908620,-17011339,31655430,99425120,103707405
49347685,10443620,83681452,31908620,-17011339,31655430,99425120
-58968890,49347685,10443620,83681452,31908620,-17011339,31655430
41170852,-58968890,49347685,10443620,83681452,31908620,-17011339
-78518681,41170852,-58968890,49347685,10443620,83681452,31908620
98003546,-78518681,41170852,-58968890,49347685,10443620,83681452
99109577,98003546,-78518681,41170852,-58968890,49347685,10443620
182505320,99109577,98003546,-78518681,41170852,-58968890,49347685
213720272,182505320,99109577,98003546,-78518681,41170852,-58968890
258789312,213720272,182505320,99109577,98003546,-78518681,41170852
176637959,258789312,213720272,182505320,99109577,98003546,-78518681
175974888,176637959,258789312,213720272,182505320,99109577,98003546
84109270,175974888,176637959,258789312,213720272,182505320,99109577
214518640,84109270,175974888,176637959,258789312,213720272,182505320
232450509,214518640,84109270,175974888,176637959,258789312,213720272
229698154,232450509,214518640,84109270,175974888,176637959,258789312
156228213,229698154,232450509,214518640,84109270,175974888,176637959
223840978,156228213,229698154,232450509,214518640,84109270,175974888
177134258,223840978,156228213,229698154,232450509,214518640,84109270
61468829,177134258,223840978,156228213,229698154,232450509,214518640
112087352,61468829,177134258,223840978,156228213,229698154,232450509
127753957,112087352,61468829,177134258,223840978,156228213,229698154
142224492,127753957,112087352,61468829,177134258,223840978,156228213
118413732,142224492,127753957,112087352,61468829,177134258,223840978
353632250,118413732,142224492,127753957,112087352,61468829,177134258
107782510,353632250,118413732,142224492,127753957,112087352,61468829
77050812,107782510,353632250,118413732,142224492,127753957,112087352
183676975,77050812,107782510,353632250,118413732,142224492,127753957
52054939,183676975,77050812,107782510,353632250,118413732,142224492
160371426,52054939,183676975,77050812,107782510,353632250,118413732
279134292,160371426,52054939,183676975,77050812,107782510,353632250
-38376166,279134292,160371426,52054939,183676975,77050812,107782510
261859647,-38376166,279134292,160371426,52054939,183676975,77050812
218181238,261859647,-38376166,279134292,160371426,52054939,183676975
232597325,218181238,261859647,-38376166,279134292,160371426,52054939
455191896,232597325,218181238,261859647,-38376166,279134292,160371426
613895329,455191896,232597325,218181238,261859647,-38376166,279134292
909221144,613895329,455191896,232597325,218181238,261859647,-38376166
142754788,909221144,613895329,455191896,232597325,218181238,261859647
60998635,142754788,909221144,613895329,455191896,232597325,218181238
49700107,60998635,142754788,909221144,613895329,455191896,232597325
51633623,49700107,60998635,142754788,909221144,613895329,455191896
-6768224,51633623,49700107,60998635,142754788,909221144,613895329
31248376,-6768224,51633623,49700107,60998635,142754788,909221144
92019422,31248376,-6768224,51633623,49700107,60998635,142754788
135875401,92019422,31248376,-6768224,51633623,49700107,60998635
265173986,135875401,92019422,31248376,-6768224,51633623,49700107
180662896,265173986,135875401,92019422,31248376,-6768224,51633623
193395154,180662896,265173986,135875401,92019422,31248376,-6768224
213687706,193395154,180662896,265173986,135875401,92019422,31248376
355230877,213687706,193395154,180662896,265173986,135875401,92019422
125885616,355230877,213687706,193395154,180662896,265173986,135875401
160133173,125885616,355230877,213687706,193395154,180662896,265173986
288959492,160133173,125885616,355230877,213687706,193395154,180662896
194974234,288959492,160133173,125885616,355230877,213687706,193395154
221818125,194974234,288959492,160133173,125885616,355230877,213687706
360786612,221818125,194974234,288959492,160133173,125885616,355230877
176511903,360786612,221818125,194974234,288959492,160133173,125885616
395322944,176511903,360786612,221818125,194974234,288959492,160133173
250450105,395322944,176511903,360786612,221818125,194974234,288959492
188173966,250450105,395322944,176511903,360786612,221818125,194974234
105778015,188173966,250450105,395322944,176511903,360786612,221818125
71373102,105778015,188173966,250450105,395322944,176511903,360786612
268688783,71373102,105778015,188173966,250450105,395322944,176511903
364157751,268688783,71373102,105778015,188173966,250450105,395322944
9735327,364157751,268688783,71373102,105778015,188173966,250450105
-123012739,9735327,364157751,268688783,71373102,105778015,188173966
138194579,-123012739,9735327,364157751,268688783,71373102,105778015
66927237,138194579,-123012739,9735327,364157751,268688783,71373102
111992302,66927237,138194579,-123012739,9735327,364157751,268688783
163751298,111992302,66927237,138194579,-123012739,9735327,364157751
243382954,163751298,111992302,66927237,138194579,-123012739,9735327
222287712,243382954,163751298,111992302,66927237,138194579,-123012739
129724849,222287712,243382954,163751298,111992302,66927237,138194579
218614489,129724849,222287712,243382954,163751298,111992302,66927237
57358406,218614489,129724849,222287712,243382954,163751298,111992302
126686862,57358406,218614489,129724849,222287712,243382954,163751298
236823528,126686862,57358406,218614489,129724849,222287712,243382954
221476834,236823528,126686862,57358406,218614489,129724849,222287712
18512427,221476834,236823528,126686862,57358406,218614489,129724849
182492077,18512427,221476834,236823528,126686862,57358406,218614489
49058572,182492077,18512427,221476834,236823528,126686862,57358406
-41058404,49058572,182492077,18512427,221476834,236823528,126686862
31407259,-41058404,49058572,182492077,18512427,221476834,236823528
-8106222,31407259,-41058404,49058572,182492077,18512427,221476834
-39314976,-8106222,31407259,-41058404,49058572,182492077,18512427
-119542689,-39314976,-8106222,31407259,-41058404,49058572,182492077
-1429294,-119542689,-39314976,-8106222,31407259,-41058404,49058572
-6577255,-1429294,-119542689,-39314976,-8106222,31407259,-41058404
-55391023,-6577255,-1429294,-119542689,-39314976,-8106222,31407259
6750786,-55391023,-6577255,-1429294,-119542689,-39314976,-8106222
12067517,6750786,-55391023,-6577255,-1429294,-119542689,-39314976
-25019626,12067517,6750786,-55391023,-6577255,-1429294,-119542689
168714636,-25019626,12067517,6750786,-55391023,-6577255,-1429294
-60382426,168714636,-25019626,12067517,6750786,-55391023,-6577255
-148389304,-60382426,168714636,-25019626,12067517,6750786,-55391023
56754620,-148389304,-60382426,168714636,-25019626,12067517,6750786
-95328195,56754620,-148389304,-60382426,168714636,-25019626,12067517
-119755993,-95328195,56754620,-148389304,-60382426,168714636,-25019626
144377202,-119755993,-95328195,56754620,-148389304,-60382426,168714636
183949315,144377202,-119755993,-95328195,56754620,-148389304,-60382426
42685859,183949315,144377202,-119755993,-95328195,56754620,-148389304
64355446,42685859,183949315,144377202,-119755993,-95328195,56754620
41145448,64355446,42685859,183949315,144377202,-119755993,-95328195
46824197,41145448,64355446,42685859,183949315,144377202,-119755993
86201842,46824197,41145448,64355446,42685859,183949315,144377202
119113041,86201842,46824197,41145448,64355446,42685859,183949315
163471718,119113041,86201842,46824197,41145448,64355446,42685859
33246080,163471718,119113041,86201842,46824197,41145448,64355446
12124906,33246080,163471718,119113041,86201842,46824197,41145448
21187683,12124906,33246080,163471718,119113041,86201842,46824197
2968945,21187683,12124906,33246080,163471718,119113041,86201842
43436457,2968945,21187683,12124906,33246080,163471718,119113041
3797037,43436457,2968945,21187683,12124906,33246080,163471718
85873714,3797037,43436457,2968945,21187683,12124906,33246080
9114374,85873714,3797037,43436457,2968945,21187683,12124906
84472159,9114374,85873714,3797037,43436457,2968945,21187683
-30072084,84472159,9114374,85873714,3797037,43436457,2968945
-13519273,-30072084,84472159,9114374,85873714,3797037,43436457
-35113136,-13519273,-30072084,84472159,9114374,85873714,3797037
-61672338,-35113136,-13519273,-30072084,84472159,9114374,85873714
-26706673,-61672338,-35113136,-13519273,-30072084,84472159,9114374
-145166876,-26706673,-61672338,-35113136,-13519273,-30072084,84472159
88865138,-145166876,-26706673,-61672338,-35113136,-13519273,-30072084
74200985,88865138,-145166876,-26706673,-61672338,-35113136,-13519273
-73681255,74200985,88865138,-145166876,-26706673,-61672338,-35113136
-128431267,-73681255,74200985,88865138,-145166876,-26706673,-61672338
-37145733,-128431267,-73681255,74200985,88865138,-145166876,-26706673
-42327162,-37145733,-128431267,-73681255,74200985,88865138,-145166876
84010320,-42327162,-37145733,-128431267,-73681255,74200985,88865138
26599361,84010320,-42327162,-37145733,-128431267,-73681255,74200985
55179117,26599361,84010320,-42327162,-37145733,-128431267,-73681255
15104033,55179117,26599361,84010320,-42327162,-37145733,-128431267
101067258,15104033,55179117,26599361,84010320,-42327162,-37145733
27549796,101067258,15104033,55179117,26599361,84010320,-42327162
184652746,27549796,101067258,15104033,55179117,26599361,84010320
85810138,184652746,27549796,101067258,15104033,55179117,26599361
106998396,85810138,184652746,27549796,101067258,15104033,55179117
-30822390,106998396,85810138,184652746,27549796,101067258,15104033
65509334,-30822390,106998396,85810138,184652746,27549796,101067258
-53204499,65509334,-30822390,106998396,85810138,184652746,27549796
112028192,-53204499,65509334,-30822390,106998396,85810138,184652746
-7282600,112028192,-53204499,65509334,-30822390,106998396,85810138
-131962565,-7282600,112028192,-53204499,65509334,-30822390,106998396
54134369,-131962565,-7282600,112028192,-53204499,65509334,-30822390
-63302761,54134369,-131962565,-7282600,112028192,-53204499,65509334
15617484,-63302761,54134369,-131962565,-7282600,112028192,-53204499
-74383442,15617484,-63302761,54134369,-131962565,-7282600,112028192
89508968,-74383442,15617484,-63302761,54134369,-131962565,-7282600
-51369414,89508968,-74383442,15617484,-63302761,54134369,-131962565
-22241384,-51369414,89508968,-74383442,15617484,-63302761,54134369
-23825711,-22241384,-51369414,89508968,-74383442,15617484,-63302761
-91664782,-23825711,-22241384,-51369414,89508968,-74383442,15617484
22621449,-91664782,-23825711,-22241384,-51369414,89508968,-74383442
-148374519,22621449,-91664782,-23825711,-22241384,-51369414,89508968
-119323984,-148374519,22621449,-91664782,-23825711,-22241384,-51369414
-112854800,-119323984,-148374519,22621449,-91664782,-23825711,-22241384
-62902194,-112854800,-119323984,-148374519,22621449,-91664782,-23825711
-27628046,-62902194,-112854800,-119323984,-148374519,22621449,-91664782
-24855302,-27628046,-62902194,-112854800,-119323984,-148374519,22621449
32865671,-24855302,-27628046,-62902194,-112854800,-119323984,-148374519
19361574,32865671,-24855302,-27628046,-62902194,-112854800,-119323984
-86760060,19361574,32865671,-24855302,-27628046,-62902194,-112854800
-51363471,-86760060,19361574,32865671,-24855302,-27628046,-62902194
6158804,-51363471,-86760060,19361574,32865671,-24855302,-27628046
38585018,6158804,-51363471,-86760060,19361574,32865671,-24855302
-51023641,38585018,6158804,-51363471,-86760060,19361574,32865671
1068003,-51023641,38585018,6158804,-51363471,-86760060,19361574
201275131,1068003,-51023641,38585018,6158804,-51363471,-86760060
107499062,201275131,1068003,-51023641,38585018,6158804,-51363471
33952646,107499062,201275131,1068003,-51023641,38585018,6158804
11023701,33952646,107499062,201275131,1068003,-51023641,38585018
-28104493,11023701,33952646,107499062,201275131,1068003,-51023641
-141270895,-28104493,11023701,33952646,107499062,201275131,1068003
-15993003,-141270895,-28104493,11023701,33952646,107499062,201275131
-47046008,-15993003,-141270895,-28104493,11023701,33952646,107499062
-6816795,-47046008,-15993003,-141270895,-28104493,11023701,33952646
-92492882,-6816795,-47046008,-15993003,-141270895,-28104493,11023701
-39508541,-92492882,-6816795,-47046008,-15993003,-141270895,-28104493
-106248852,-39508541,-92492882,-6816795,-47046008,-15993003,-141270895
17299254,-106248852,-39508541,-92492882,-6816795,-47046008,-15993003
-88626484,17299254,-106248852,-39508541,-92492882,-6816795,-47046008
-140334163,-88626484,17299254,-106248852,-39508541,-92492882,-6816795
-44301681,-140334163,-88626484,17299254,-106248852,-39508541,-92492882
-48023368,-44301681,-140334163,-88626484,17299254,-106248852,-39508541
-274574330,-48023368,-44301681,-140334163,-88626484,17299254,-106248852
-120821042,-274574330,-48023368,-44301681,-140334163,-88626484,17299254
-18184135,-120821042,-274574330,-48023368,-44301681,-140334163,-88626484
-66989006,-18184135,-120821042,-274574330,-48023368,-44301681,-140334163
-94131651,-66989006,-18184135,-120821042,-274574330,-48023368,-44301681
20875837,-94131651,-66989006,-18184135,-120821042,-274574330,-48023368
-63005986,20875837,-94131651,-66989006,-18184135,-120821042,-274574330
-52598915,-63005986,20875837,-94131651,-66989006,-18184135,-120821042
-32001987,-52598915,-63005986,20875837,-94131651,-66989006,-18184135
-6154361,-32001987,-52598915,-63005986,20875837,-94131651,-66989006
-87363012,-6154361,-32001987,-52598915,-63005986,20875837,-94131651
-2360218,-87363012,-6154361,-32001987,-52598915,-63005986,20875837
-126130768,-2360218,-87363012,-6154361,-32001987,-52598915,-63005986
-54703063,-126130768,-2360218,-87363012,-6154361,-32001987,-52598915
-45097030,-54703063,-126130768,-2360218,-87363012,-6154361,-32001987
-32887561,-45097030,-54703063,-126130768,-2360218,-87363012,-6154361
-23900816,-32887561,-45097030,-54703063,-126130768,-2360218,-87363012
-75729168,-23900816,-32887561,-45097030,-54703063,-126130768,-2360218
-26084750,-75729168,-23900816,-32887561,-45097030,-54703063,-126130768
-70097135,-26084750,-75729168,-23900816,-32887561,-45097030,-54703063
-1334435,-70097135,-26084750,-75729168,-23900816,-32887561,-45097030
49895922,-1334435,-70097135,-26084750,-75729168,-23900816,-32887561
29112806,49895922,-1334435,-70097135,-26084750,-75729168,-23900816
31125369,29112806,49895922,-1334435,-70097135,-26084750,-75729168
16338117,31125369,29112806,49895922,-1334435,-70097135,-26084750
-83764317,16338117,31125369,29112806,49895922,-1334435,-70097135
-85211844,-83764317,16338117,31125369,29112806,49895922,-1334435
-7184579,-85211844,-83764317,16338117,31125369,29112806,49895922
-26958619,-7184579,-85211844,-83764317,16338117,31125369,29112806
-29608114,-26958619,-7184579,-85211844,-83764317,16338117,31125369
46294422,-29608114,-26958619,-7184579,-85211844,-83764317,16338117
-119345273,46294422,-29608114,-26958619,-7184579,-85211844,-83764317
-140519914,-119345273,46294422,-29608114,-26958619,-7184579,-85211844
140183344,-140519914,-119345273,46294422,-29608114,-26958619,-7184579
-38965135,140183344,-140519914,-119345273,46294422,-29608114,-26958619
-41571898,-38965135,140183344,-140519914,-119345273,46294422,-29608114
95648803,-41571898,-38965135,140183344,-140519914,-119345273,46294422
-9970164,95648803,-41571898,-38965135,140183344,-140519914,-119345273
32912022,-9970164,95648803,-41571898,-38965135,140183344,-140519914
6214029,32912022,-9970164,95648803,-41571898,-38965135,140183344
33207702,6214029,32912022,-9970164,95648803,-41571898,-38965135
21429885,33207702,6214029,32912022,-9970164,95648803,-41571898
-27331633,21429885,33207702,6214029,32912022,-9970164,95648803
23706860,-27331633,21429885,33207702,6214029,32912022,-9970164
3132275,23706860,-27331633,21429885,33207702,6214029,32912022
-59451436,3132275,23706860,-27331633,21429885,33207702,6214029
-101200190,-59451436,3132275,23706860,-27331633,21429885,33207702
6447491,-101200190,-59451436,3132275,23706860,-27331633,21429885
-46595273,6447491,-101200190,-59451436,3132275,23706860,-27331633
-3808061,-46595273,6447491,-101200190,-59451436,3132275,23706860
47873411,-3808061,-46595273,6447491,-101200190,-59451436,3132275
-243962,47873411,-3808061,-46595273,6447491,-101200190,-59451436
-33181324,-243962,47873411,-3808061,-46595273,6447491,-101200190
-105407381,-33181324,-243962,47873411,-3808061,-46595273,6447491
-11651772,-105407381,-33181324,-243962,47873411,-3808061,-46595273
-35514807,-11651772,-105407381,-33181324,-243962,47873411,-3808061
48821761,-35514807,-11651772,-105407381,-33181324,-243962,47873411
-50344927,48821761,-35514807,-11651772,-105407381,-33181324,-243962
-42166694,-50344927,48821761,-35514807,-11651772,-105407381,-33181324
-75744386,-42166694,-50344927,48821761,-35514807,-11651772,-105407381
18623558,-75744386,-42166694,-50344927,48821761,-35514807,-11651772
-30179307,18623558,-75744386,-42166694,-50344927,48821761,-35514807
-118134209,-30179307,18623558,-75744386,-42166694,-50344927,48821761
-86897226,-118134209,-30179307,18623558,-75744386,-42166694,-50344927
-145080338,-86897226,-118134209,-30179307,18623558,-75744386,-42166694
-18212531,-145080338,-86897226,-118134209,-30179307,18623558,-75744386
