report_date,yesterday_redeem,week1_redeem,week2_redeem,week3_redeem,week4_redeem,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_purchase
20130820,27409347,29325894,23304219,16427906,8675669,0,1,0,0,0,0,0,,,48319110
20130821,27002747,23721318,13675014,13151366,9348626,0,0,1,0,0,0,0,,,51304276
20130822,18370111,21981558,10561475,6159040,62652056,0,0,0,1,0,0,0,,,45762636
20130823,18620771,58314359,15546146,20410883,11721842,0,0,0,0,1,0,0,,,26545809
20130824,16009856,51457176,41942573,24942267,5723416,0,0,0,0,0,1,0,,,33855284
20130825,14426635,35585574,5443051,16648439,32887218,0,0,0,0,0,0,1,,,54574111
20130826,12426430,27409347,43533052,123111835,14375762,1,0,0,0,0,0,0,,,17586501
20130827,16794905,27002747,29325894,23304219,16427906,0,1,0,0,0,0,0,,,52044963
20130828,23573930,18370111,23721318,13675014,13151366,0,0,1,0,0,0,0,,,49273164
20130829,68685109,18620771,21981558,10561475,6159040,0,0,0,1,0,0,0,,,57249467
20130830,29996101,16009856,58314359,15546146,20410883,0,0,0,0,1,0,0,,,31008331
20130831,17631447,14426635,51457176,41942573,24942267,0,0,0,0,0,1,0,,,29172174
20130901,12893797,12426430,35585574,5443051,16648439,0,0,0,0,0,0,1,,,27720016
20130902,18155299,16794905,27409347,43533052,123111835,1,0,0,0,0,0,0,,,60276302
20130903,27437595,23573930,27002747,29325894,23304219,0,1,0,0,0,0,0,,,42168974
20130904,20886668,68685109,18370111,23721318,13675014,0,0,1,0,0,0,0,,,58345539
20130905,23688242,29996101,18620771,21981558,10561475,0,0,0,1,0,0,0,,,55301172
20130906,17937329,17631447,16009856,58314359,15546146,0,0,0,0,1,0,0,,,42500904
20130907,22744929,12893797,14426635,51457176,41942573,0,0,0,0,0,1,0,,,38650095
20130908,17830433,18155299,12426430,35585574,5443051,0,0,0,0,0,0,1,,,49801798
20130909,19393890,27437595,16794905,27409347,43533052,1,0,0,0,0,0,0,,,24810658
20130910,22529834,20886668,23573930,27002747,29325894,0,1,0,0,0,0,0,,,55565482
20130911,61880908,23688242,68685109,18370111,23721318,0,0,1,0,0,0,0,,,81305151
20130912,45646088,17937329,29996101,18620771,21981558,0,0,0,1,0,0,0,,,93077458
20130913,16797004,22744929,17631447,16009856,58314359,0,0,0,0,1,0,0,,,50035862
20130914,10624127,17830433,12893797,14426635,51457176,0,0,0,0,0,1,0,,,48041116
20130915,22263774,19393890,18155299,12426430,35585574,0,0,0,0,0,0,1,,,34379286
20130916,17385227,22529834,27437595,16794905,27409347,1,0,0,0,0,0,0,,,38956366
20130917,14276435,61880908,20886668,23573930,27002747,0,1,0,0,0,0,0,,,104399397
20130918,21022169,45646088,23688242,68685109,18370111,0,0,1,0,0,0,0,,,75209349
20130919,17777697,16797004,17937329,29996101,18620771,0,0,0,1,0,0,0,,,41969227
20130920,11095259,10624127,22744929,17631447,16009856,0,0,0,0,1,0,0,,,40861546
20130921,15710134,22263774,17830433,12893797,14426635,0,0,0,0,0,1,0,,,33601331
20130922,23219290,17385227,19393890,18155299,12426430,0,0,0,0,0,0,1,,,61641978
20130923,75805107,14276435,22529834,27437595,16794905,1,0,0,0,0,0,0,,,59188234
20130924,26564396,21022169,61880908,20886668,23573930,0,1,0,0,0,0,0,,,37338427
20130925,26722196,17777697,45646088,23688242,68685109,0,0,1,0,0,0,0,,,56008378
20130926,54563516,11095259,16797004,17937329,29996101,0,0,0,1,0,0,0,,,107206248
20130927,32334604,15710134,10624127,22744929,17631447,0,0,0,0,1,0,0,,,49684160
20130928,21422361,23219290,22263774,17830433,12893797,0,0,0,0,0,1,0,,,51076556
20130929,37660670,75805107,17385227,19393890,18155299,0,0,0,0,0,0,1,,,46758852
20130930,77461238,26564396,14276435,22529834,27437595,1,0,0,0,0,0,0,,,76038490
20131001,34100714,26722196,21022169,61880908,20886668,0,1,0,0,0,0,0,,,49151321
20131002,8869210,54563516,17777697,45646088,23688242,0,0,1,0,0,0,0,,,22858568
20131003,10393202,32334604,11095259,16797004,17937329,0,0,0,1,0,0,0,,,15700008
20131004,14700007,21422361,15710134,10624127,22744929,0,0,0,0,1,0,0,,,7251212
20131005,12046540,37660670,23219290,22263774,17830433,0,0,0,0,0,1,0,,,22868589
20131006,13019900,77461238,75805107,17385227,19393890,0,0,0,0,0,0,1,,,21245166
20131007,14733990,34100714,26564396,14276435,22529834,1,0,0,0,0,0,0,,,40318288
20131008,82606688,8869210,26722196,21022169,61880908,0,1,0,0,0,0,0,,,56730939
20131009,60758100,10393202,54563516,17777697,45646088,0,0,1,0,0,0,0,,,115047417
20131010,26611167,14700007,32334604,11095259,16797004,0,0,0,1,0,0,0,,,67339813
20131011,36132959,12046540,21422361,15710134,10624127,0,0,0,0,1,0,0,,,93642539
20131012,31646212,13019900,37660670,23219290,22263774,0,0,0,0,0,1,0,,,68845671
20131013,36724035,14733990,77461238,75805107,17385227,0,0,0,0,0,0,1,,,95312628
20131014,46888025,82606688,34100714,26564396,14276435,1,0,0,0,0,0,0,,,40381173
20131015,41243215,60758100,8869210,26722196,21022169,0,1,0,0,0,0,0,,,158158044
20131016,58286788,26611167,10393202,54563516,17777697,0,0,1,0,0,0,0,,,108776071
20131017,40682099,36132959,14700007,32334604,11095259,0,0,0,1,0,0,0,,,156977224
20131018,45517673,31646212,12046540,21422361,15710134,0,0,0,0,1,0,0,,,73354575
20131019,29644051,36724035,13019900,37660670,23219290,0,0,0,0,0,1,0,,,80573607
20131020,12115532,46888025,14733990,77461238,75805107,0,0,0,0,0,0,1,,,47140830
20131021,27240757,41243215,82606688,34100714,26564396,1,0,0,0,0,0,0,,,78146352
20131022,86625521,58286788,60758100,8869210,26722196,0,1,0,0,0,0,0,,,92303765
20131023,29426313,40682099,26611167,10393202,54563516,0,0,1,0,0,0,0,,,79936840
20131024,36092748,45517673,36132959,14700007,32334604,0,0,0,1,0,0,0,,,91267273
20131025,69717843,29644051,31646212,12046540,21422361,0,0,0,0,1,0,0,,,78253878
20131026,62677596,12115532,36724035,13019900,37660670,0,0,0,0,0,1,0,,,72866681
20131027,27504517,27240757,46888025,14733990,77461238,0,0,0,0,0,0,1,,,89152724
20131028,25646394,86625521,41243215,82606688,34100714,1,0,0,0,0,0,0,,,58360160
20131029,67747746,29426313,58286788,60758100,8869210,0,1,0,0,0,0,0,,,175987478
20131030,52687221,36092748,40682099,26611167,10393202,0,0,1,0,0,0,0,,,147891369
20131031,63435426,69717843,45517673,36132959,14700007,0,0,0,1,0,0,0,,,123495252
20131101,93841828,62677596,29644051,31646212,12046540,0,0,0,0,1,0,0,,,105655220
20131102,46678116,27504517,12115532,36724035,13019900,0,0,0,0,0,1,0,,,90052647
20131103,21879168,25646394,27240757,46888025,14733990,0,0,0,0,0,0,1,,,60697754
20131104,33749172,67747746,86625521,41243215,82606688,1,0,0,0,0,0,0,,,109705314
20131105,108318485,52687221,29426313,58286788,60758100,0,1,0,0,0,0,0,,,134705147
20131106,128585154,63435426,36092748,40682099,26611167,0,0,1,0,0,0,0,,,170112074
20131107,131796343,93841828,69717843,45517673,36132959,0,0,0,1,0,0,0,,,177181307
20131108,149424128,46678116,62677596,29644051,31646212,0,0,0,0,1,0,0,,,219191421
20131109,99248361,21879168,27504517,12115532,36724035,0,0,0,0,0,1,0,,,249304249
20131110,59247170,33749172,25646394,27240757,46888025,0,0,0,0,0,0,1,,,123652022
20131111,123840519,108318485,67747746,86625521,41243215,1,0,0,0,0,0,0,,,158993537
20131112,246064757,128585154,52687221,29426313,58286788,0,1,0,0,0,0,0,,,143416540
20131113,74456493,131796343,63435426,36092748,40682099,0,0,1,0,0,0,0,,,173549641
20131114,54302781,149424128,93841828,69717843,45517673,0,0,0,1,0,0,0,,,158376990
20131115,42611824,99248361,46678116,62677596,29644051,0,0,0,0,1,0,0,,,148622821
20131116,44380574,59247170,21879168,27504517,12115532,0,0,0,0,0,1,0,,,116112820
20131117,38584607,123840519,33749172,25646394,27240757,0,0,0,0,0,0,1,,,85621804
20131118,35055232,246064757,108318485,67747746,86625521,1,0,0,0,0,0,0,,,98492364
20131119,65817333,74456493,128585154,52687221,29426313,0,1,0,0,0,0,0,,,145222355
20131120,60013853,54302781,131796343,63435426,36092748,0,0,1,0,0,0,0,,,165943591
20131121,83122720,42611824,149424128,93841828,69717843,0,0,0,1,0,0,0,,,149019647
20131122,75803920,44380574,99248361,46678116,62677596,0,0,0,0,1,0,0,,,236672974
20131123,66623532,38584607,59247170,21879168,27504517,0,0,0,0,0,1,0,,,139140591
20131124,88449004,35055232,123840519,33749172,25646394,0,0,0,0,0,0,1,,,85234876
20131125,60355364,65817333,246064757,108318485,67747746,1,0,0,0,0,0,0,,,97522283
20131126,91230946,60013853,74456493,128585154,52687221,0,1,0,0,0,0,0,,,188023955
20131127,79919049,83122720,54302781,131796343,63435426,0,0,1,0,0,0,0,,,181397027
20131128,178457547,75803920,42611824,149424128,93841828,0,0,0,1,0,0,0,,,152083973
20131129,107063218,66623532,44380574,99248361,46678116,0,0,0,0,1,0,0,,,152510165
20131130,96242909,88449004,38584607,59247170,21879168,0,0,0,0,0,1,0,,,144836611
20131201,76461088,60355364,35055232,123840519,33749172,0,0,0,0,0,0,1,,,94687796
20131202,95291329,91230946,65817333,246064757,108318485,1,0,0,0,0,0,0,,,179080325
20131203,107045755,79919049,60013853,74456493,128585154,0,1,0,0,0,0,0,,,207768089
20131204,105284341,178457547,83122720,54302781,131796343,0,0,1,0,0,0,0,,,176533224
20131205,91187713,107063218,75803920,42611824,149424128,0,0,0,1,0,0,0,,,253181565
20131206,75925859,96242909,66623532,44380574,99248361,0,0,0,0,1,0,0,,,152989262
20131207,92725974,76461088,88449004,38584607,59247170,0,0,0,0,0,1,0,,,198597129
20131208,53512763,95291329,60355364,35055232,123840519,0,0,0,0,0,0,1,,,116093484
20131209,53648650,107045755,91230946,65817333,246064757,1,0,0,0,0,0,0,,,127532403
20131210,152407205,105284341,79919049,60013853,74456493,0,1,0,0,0,0,0,,,214664521
20131211,78077384,91187713,178457547,83122720,54302781,0,0,1,0,0,0,0,,,281121012
20131212,126368276,75925859,107063218,75803920,42611824,0,0,0,1,0,0,0,,,316266609
20131213,117455386,92725974,96242909,66623532,44380574,0,0,0,0,1,0,0,,,172183635
20131214,83443683,53512763,76461088,88449004,38584607,0,0,0,0,0,1,0,,,146722615
20131215,73250223,53648650,95291329,60355364,35055232,0,0,0,0,0,0,1,,,134839018
20131216,59674345,152407205,107045755,91230946,65817333,1,0,0,0,0,0,0,,,119396143
20131217,86266515,78077384,105284341,79919049,60013853,0,1,0,0,0,0,0,,,188230089
20131218,109073593,126368276,91187713,178457547,83122720,0,0,1,0,0,0,0,,,212780998
20131219,91560802,117455386,75925859,107063218,75803920,0,0,0,1,0,0,0,,,190985922
20131220,112370684,83443683,92725974,96242909,66623532,0,0,0,0,1,0,0,,,144026114
20131221,148188232,73250223,53512763,76461088,88449004,0,0,0,0,0,1,0,,,131176893
20131222,59536553,59674345,53648650,95291329,60355364,0,0,0,0,0,0,1,,,91445173
20131223,56877147,86266515,152407205,107045755,91230946,1,0,0,0,0,0,0,,,140558599
20131224,179886396,109073593,78077384,105284341,79919049,0,1,0,0,0,0,0,,,190330016
20131225,133342747,91560802,126368276,91187713,178457547,0,0,1,0,0,0,0,,,182690432
20131226,212312830,112370684,117455386,75925859,107063218,0,0,0,1,0,0,0,,,153343940
20131227,146764679,148188232,83443683,92725974,96242909,0,0,0,0,1,0,0,,,187935531
20131228,252417542,59536553,73250223,53512763,76461088,0,0,0,0,0,1,0,,,173898861
20131229,101848650,56877147,59674345,53648650,95291329,0,0,0,0,0,0,1,,,199852196
20131230,74663175,179886396,86266515,152407205,107045755,1,0,0,0,0,0,0,,,173772752
20131231,103985798,133342747,109073593,78077384,105284341,0,1,0,0,0,0,0,,,286491118
20140101,113254499,212312830,91560802,126368276,91187713,0,0,1,0,0,0,0,,,326974771
20140102,77073258,146764679,112370684,117455386,75925859,0,0,0,1,0,0,0,,,335862570
20140103,124541441,252417542,148188232,83443683,92725974,0,0,0,0,1,0,0,,,301179400
20140104,115361983,101848650,59536553,73250223,53512763,0,0,0,0,0,1,0,,,291336871
20140105,71718874,74663175,56877147,59674345,53648650,0,0,0,0,0,0,1,,,155828144
20140106,106824899,103985798,179886396,86266515,152407205,1,0,0,0,0,0,0,,,321343539
20140107,139233405,113254499,133342747,109073593,78077384,0,1,0,0,0,0,0,,,371683914
20140108,110203644,77073258,212312830,91560802,126368276,0,0,1,0,0,0,0,,,339901798
20140109,115536959,124541441,146764679,112370684,117455386,0,0,0,1,0,0,0,,,271765172
20140110,121195295,115361983,252417542,148188232,83443683,0,0,0,0,1,0,0,,,345036273
20140111,119859597,71718874,101848650,59536553,73250223,0,0,0,0,0,1,0,,,296993855
20140112,116820618,106824899,74663175,56877147,59674345,0,0,0,0,0,0,1,,,178289447
20140113,80041533,139233405,103985798,179886396,86266515,1,0,0,0,0,0,0,,,192128885
20140114,164389088,110203644,113254499,133342747,109073593,0,1,0,0,0,0,0,,,292143045
20140115,194979118,115536959,77073258,212312830,91560802,0,0,1,0,0,0,0,,,337203610
20140116,114905112,121195295,124541441,146764679,112370684,0,0,0,1,0,0,0,,,233318844
20140117,136931314,119859597,115361983,252417542,148188232,0,0,0,0,1,0,0,,,490563564
20140118,154263565,116820618,71718874,101848650,59536553,0,0,0,0,0,1,0,,,262046075
20140119,107190052,80041533,106824899,74663175,56877147,0,0,0,0,0,0,1,,,184240864
20140120,117846810,164389088,139233405,103985798,179886396,1,0,0,0,0,0,0,,,301523785
20140121,259973410,194979118,110203644,113254499,133342747,0,1,0,0,0,0,0,,,312028349
20140122,176724296,114905112,115536959,77073258,212312830,0,0,1,0,0,0,0,,,337095722
20140123,183458941,136931314,121195295,124541441,146764679,0,0,0,1,0,0,0,,,462593233
20140124,332744686,154263565,119859597,115361983,252417542,0,0,0,0,1,0,0,,,294368520
20140125,188651670,107190052,116820618,71718874,101848650,0,0,0,0,0,1,0,,,450511317
20140126,131010888,117846810,80041533,106824899,74663175,0,0,0,0,0,0,1,,,349192126
20140127,214348269,259973410,164389088,139233405,103985798,1,0,0,0,0,0,0,,,446945594
20140128,260269121,176724296,194979118,110203644,113254499,0,1,0,0,0,0,0,,,715461017
20140129,256692351,183458941,114905112,115536959,77073258,0,0,1,0,0,0,0,,,870587680
20140130,274603869,332744686,136931314,121195295,124541441,0,0,0,1,0,0,0,,,1183825013
20140131,99811984,188651670,154263565,119859597,115361983,0,0,0,0,1,0,0,,,242566772
20140201,29125625,131010888,107190052,116820618,71718874,0,0,0,0,0,1,0,,,90124260
20140202,51483587,214348269,117846810,80041533,106824899,0,0,0,0,0,0,1,,,101183694
20140203,35016210,260269121,259973410,164389088,139233405,1,0,0,0,0,0,0,,,86649833
20140204,92071628,256692351,176724296,194979118,110203644,0,1,0,0,0,0,0,,,85303404
20140205,61618152,274603869,183458941,114905112,115536959,0,0,1,0,0,0,0,,,92866528
20140206,70100225,99811984,332744686,136931314,121195295,0,0,0,1,0,0,0,,,162119647
20140207,89786438,29125625,188651670,154263565,119859597,0,0,0,0,1,0,0,,,225661839
20140208,356235057,51483587,131010888,107190052,116820618,0,0,0,0,0,1,0,,,621409043
20140209,134579390,35016210,214348269,117846810,80041533,0,0,0,0,0,0,1,,,315242286
20140210,143211947,92071628,260269121,259973410,164389088,1,0,0,0,0,0,0,,,336607101
20140211,418611061,61618152,256692351,176724296,194979118,0,1,0,0,0,0,0,,,632298767
20140212,315239225,70100225,274603869,183458941,114905112,0,0,1,0,0,0,0,,,670470102
20140213,425221290,89786438,99811984,332744686,136931314,0,0,0,1,0,0,0,,,551106906
20140214,301079648,356235057,29125625,188651670,154263565,0,0,0,0,1,0,0,,,461212821
20140215,233371566,134579390,51483587,131010888,107190052,0,0,0,0,0,1,0,,,522331058
20140216,110240413,143211947,35016210,214348269,117846810,0,0,0,0,0,0,1,,,305214647
20140217,139432186,418611061,92071628,260269121,259973410,1,0,0,0,0,0,0,,,361250311
20140218,314699059,315239225,61618152,256692351,176724296,0,1,0,0,0,0,0,,,675485671
20140219,246229299,425221290,70100225,274603869,183458941,0,0,1,0,0,0,0,,,422741202
20140220,247608257,301079648,89786438,99811984,332744686,0,0,0,1,0,0,0,,,642931201
20140221,276717727,233371566,356235057,29125625,188651670,0,0,0,0,1,0,0,,,527167832
20140222,206572952,110240413,134579390,51483587,131010888,0,0,0,0,0,1,0,,,394746918
20140223,129881807,139432186,143211947,35016210,214348269,0,0,0,0,0,0,1,,,235659822
20140224,237023147,314699059,418611061,92071628,260269121,1,0,0,0,0,0,0,,,308396249
20140225,326481227,246229299,315239225,61618152,256692351,0,1,0,0,0,0,0,,,595170010
20140226,349836501,247608257,425221290,70100225,274603869,0,0,1,0,0,0,0,,,713994252
20140227,476270827,276717727,301079648,89786438,99811984,0,0,0,1,0,0,0,,,486006154
20140228,660825256,206572952,233371566,356235057,29125625,0,0,0,0,1,0,0,,,537812517
20140301,282310184,129881807,110240413,134579390,51483587,0,0,0,0,0,1,0,,,420504763
20140302,148429245,237023147,139432186,143211947,35016210,0,0,0,0,0,0,1,,,215356482
20140303,163786963,326481227,314699059,418611061,92071628,1,0,0,0,0,0,0,,,275779265
20140304,360144530,349836501,246229299,315239225,61618152,0,1,0,0,0,0,0,,,523895828
20140305,278261421,476270827,247608257,425221290,70100225,0,0,1,0,0,0,0,,,521644375
20140306,275381156,660825256,276717727,301079648,89786438,0,0,0,1,0,0,0,,,497668868
20140307,366030834,282310184,206572952,233371566,356235057,0,0,0,0,1,0,0,,,495755683
20140308,274009352,148429245,129881807,110240413,134579390,0,0,0,0,0,1,0,,,492623841
20140309,157996615,163786963,237023147,139432186,143211947,0,0,0,0,0,0,1,,,215355021
20140310,169872578,360144530,326481227,314699059,418611061,1,0,0,0,0,0,0,,,296559440
20140311,296534165,278261421,349836501,246229299,315239225,0,1,0,0,0,0,0,,,533357693
20140312,267437055,275381156,476270827,247608257,425221290,0,0,1,0,0,0,0,,,488913889
20140313,298538230,366030834,660825256,276717727,301079648,0,0,0,1,0,0,0,,,317050657
20140314,255918695,274009352,282310184,206572952,233371566,0,0,0,0,1,0,0,,,438410772
20140315,270497983,157996615,148429245,129881807,110240413,0,0,0,0,0,1,0,,,319556555
20140316,242196362,169872578,163786963,237023147,139432186,0,0,0,0,0,0,1,,,201137958
20140317,188184766,296534165,360144530,326481227,314699059,1,0,0,0,0,0,0,,,219592025
20140318,420064650,267437055,278261421,349836501,246229299,0,1,0,0,0,0,0,,,411958428
20140319,341931886,298538230,275381156,476270827,247608257,0,0,1,0,0,0,0,,,302616910
20140320,414884867,255918695,366030834,660825256,276717727,0,0,0,1,0,0,0,,,295342178
20140321,304013906,270497983,274009352,282310184,206572952,0,0,0,0,1,0,0,,,302584612
20140322,280963645,242196362,157996615,148429245,129881807,0,0,0,0,0,1,0,,,274386390
20140323,200897470,188184766,169872578,163786963,237023147,0,0,0,0,0,0,1,,,145506447
20140324,160853972,420064650,296534165,360144530,326481227,1,0,0,0,0,0,0,,,167604758
20140325,318658552,341931886,267437055,278261421,349836501,0,1,0,0,0,0,0,,,330726069
20140326,362444778,414884867,298538230,275381156,476270827,0,0,1,0,0,0,0,,,337425152
20140327,257938486,304013906,255918695,366030834,660825256,0,0,0,1,0,0,0,,,426653122
20140328,326543305,280963645,270497983,274009352,282310184,0,0,0,0,1,0,0,,,266160879
20140329,372161003,200897470,242196362,157996615,148429245,0,0,0,0,0,1,0,,,223771699
20140330,138171183,160853972,188184766,169872578,163786963,0,0,0,0,0,0,1,,,194925803
20140331,256893459,318658552,420064650,296534165,360144530,1,0,0,0,0,0,0,,,161565264
20140401,497687416,362444778,341931886,267437055,278261421,0,1,0,0,0,0,0,0.0333333333,1,377931423
20140402,280407782,257938486,414884867,298538230,275381156,0,0,1,0,0,0,0,0.0666666667,1,424784984
20140403,234601543,326543305,304013906,255918695,366030834,0,0,0,1,0,0,0,0.1,1,418550858
20140404,259172151,372161003,280963645,270497983,274009352,0,0,0,0,1,0,0,0.1333333333,1,301858010
20140405,171218775,138171183,200897470,242196362,157996615,0,0,0,0,0,1,0,0.1666666667,0,235574221
20140406,130175071,256893459,160853972,188184766,169872578,0,0,0,0,0,0,1,0.2,0,171320519
20140407,86148848,497687416,318658552,420064650,296534165,1,0,0,0,0,0,0,0.2333333333,0,132973045
20140408,151211943,280407782,362444778,341931886,267437055,0,1,0,0,0,0,0,0.2666666667,1,237413785
20140409,241500693,234601543,257938486,414884867,298538230,0,0,1,0,0,0,0,0.3,1,360613734
20140410,301919971,259172151,326543305,304013906,255918695,0,0,0,1,0,0,0,0.3333333333,1,465391689
20140411,292651452,171218775,372161003,280963645,270497983,0,0,0,0,1,0,0,0.3666666667,1,325897532
20140412,263431235,130175071,138171183,200897470,242196362,0,0,0,0,0,1,0,0.4,0,275556141
20140413,177456118,86148848,256893459,160853972,188184766,0,0,0,0,0,0,1,0.4333333333,0,198643801
20140414,199455537,151211943,497687416,318658552,420064650,1,0,0,0,0,0,0,0.4666666667,1,202424482
20140415,315904149,241500693,280407782,362444778,341931886,0,1,0,0,0,0,0,0.5,1,359340606
20140416,333481946,301919971,234601543,257938486,414884867,0,0,1,0,0,0,0,0.5333333333,1,337278983
20140417,258644563,292651452,259172151,326543305,304013906,0,0,0,1,0,0,0,0.5666666667,1,344518277
20140418,259158950,263431235,171218775,372161003,280963645,0,0,0,0,1,0,0,0.6,1,268273324
20140419,212558260,177456118,130175071,138171183,200897470,0,0,0,0,0,1,0,0.6333333333,0,297030419
20140420,161932743,199455537,86148848,256893459,160853972,0,0,0,0,0,0,1,0.6666666667,0,131860659
20140421,175154181,315904149,151211943,497687416,318658552,1,0,0,0,0,0,0,0.7,1,161634908
20140422,416482875,333481946,241500693,280407782,362444778,0,1,0,0,0,0,0,0.7333333333,1,381369739
20140423,329994810,258644563,301919971,234601543,257938486,0,0,1,0,0,0,0,0.7666666667,1,268322472
20140424,289670313,259158950,292651452,259172151,326543305,0,0,0,1,0,0,0,0.8,1,262963640
20140425,348965167,212558260,263431235,171218775,372161003,0,0,0,0,1,0,0,0.8333333333,1,203798291
20140426,231507912,161932743,177456118,130175071,138171183,0,0,0,0,0,1,0,0.8666666667,0,320373050
20140427,110439209,175154181,199455537,86148848,256893459,0,0,0,0,0,0,1,0.9,0,184640194
20140428,241292798,416482875,315904149,151211943,497687416,1,0,0,0,0,0,0,0.9333333333,1,167611543
20140429,413667536,329994810,333481946,241500693,280407782,0,1,0,0,0,0,0,0.9666666667,1,285236269
20140430,340918574,289670313,258644563,301919971,234601543,0,0,1,0,0,0,0,1,1,303772841
20140501,274590040,348965167,259158950,292651452,259172151,0,0,0,1,0,0,0,0.0322580645,0,232262878
20140502,113440731,231507912,212558260,263431235,171218775,0,0,0,0,1,0,0,0.064516129,0,197451051
20140503,103269793,110439209,161932743,177456118,130175071,0,0,0,0,0,1,0,0.0967741935,0,129869154
20140504,174430184,241292798,175154181,199455537,86148848,0,0,0,0,0,0,1,0.1290322581,1,229609301
20140505,282088123,413667536,416482875,315904149,151211943,1,0,0,0,0,0,0,0.1612903226,1,297192156
20140506,324920452,340918574,329994810,333481946,241500693,0,1,0,0,0,0,0,0.1935483871,1,425987710
20140507,295986647,274590040,289670313,258644563,301919971,0,0,1,0,0,0,0,0.2258064516,1,323536443
20140508,221742769,113440731,348965167,259158950,292651452,0,0,0,1,0,0,0,0.2580645161,1,406395515
20140509,267751934,103269793,231507912,212558260,263431235,0,0,0,0,1,0,0,0.2903225806,1,353562072
