report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend
2014-05-29,268930576,381785376,295631432,435249186,267751934,113440731,4,29,0
2014-05-30,339227554,402129748,223981714,200510199,158473997,103269793,5,30,0
2014-05-31,248860973,276489019,233305829,179594252,258495276,174430184,6,31,1
2014-06-01,128370165,153225467,147245163,145479624,142970887,282088123,7,1,1
2014-06-02,143942297,111076626,415178334,422101826,338432936,324920452,1,2,0
2014-06-03,176770324,157408750,369000169,197106347,250343867,295986647,2,3,0
2014-06-04,285424724,372184784,381785376,292385050,297491596,221742769,3,4,0
2014-06-05,275697613,327061084,402129748,295631432,435249186,267751934,4,5,0
2014-06-06,309000179,302841375,276489019,223981714,200510199,158473997,5,6,0
2014-06-07,255880246,217295228,153225467,233305829,179594252,258495276,6,7,1
2014-06-08,155141863,206165504,111076626,147245163,145479624,142970887,7,8,1
2014-06-09,181144835,180076832,157408750,415178334,422101826,338432936,1,9,0
2014-06-10,442360742,241085611,372184784,369000169,197106347,250343867,2,10,0
2014-06-11,389636668,282137606,327061084,381785376,292385050,297491596,3,11,0
2014-06-12,311384505,277431859,302841375,402129748,295631432,435249186,4,12,0
2014-06-13,267188252,256164551,217295228,276489019,223981714,200510199,5,13,0
2014-06-14,256177180,284281673,206165504,153225467,233305829,179594252,6,14,1
2014-06-15,148539864,289810759,180076832,111076626,147245163,145479624,7,15,1
2014-06-16,201999390,217992393,241085611,157408750,415178334,422101826,1,16,0
2014-06-17,336917078,383963086,282137606,372184784,369000169,197106347,2,17,0
2014-06-18,324524255,331341050,277431859,327061084,381785376,292385050,3,18,0
2014-06-19,266480068,358972950,256164551,302841375,402129748,295631432,4,19,0
2014-06-20,282577514,322086055,284281673,217295228,276489019,223981714,5,20,0
2014-06-21,226974141,333222993,289810759,206165504,153225467,233305829,6,21,1
2014-06-22,186364721,169065467,217992393,180076832,111076626,147245163,7,22,1
2014-06-23,143403001,232029485,383963086,241085611,157408750,415178334,1,23,0
2014-06-24,304220528,444554691,331341050,282137606,372184784,369000169,2,24,0
2014-06-25,298405851,342707532,358972950,277431859,327061084,381785376,3,25,0
2014-06-26,271335080,319358448,322086055,256164551,302841375,402129748,4,26,0
2014-06-27,223576983,498151313,333222993,284281673,217295228,276489019,5,27,0
2014-06-28,186455771,307276813,169065467,289810759,206165504,153225467,6,28,1
2014-06-29,181197896,199382031,232029485,217992393,180076832,111076626,7,29,1
2014-06-30,171945311,238934317,444554691,383963086,241085611,157408750,1,30,0
2014-07-01,331665096,425796747,342707532,331341050,282137606,372184784,2,1,0
2014-07-02,379361211,358485374,319358448,358972950,277431859,327061084,3,2,0
2014-07-03,301263008,364268994,498151313,322086055,256164551,302841375,4,3,0
2014-07-04,205360896,257959811,307276813,333222993,284281673,217295228,5,4,0
2014-07-05,221546458,253548445,199382031,169065467,289810759,206165504,6,5,1
2014-07-06,162447667,168602028,238934317,232029485,217992393,180076832,7,6,1
2014-07-07,163090528,250453540,425796747,444554691,383963086,241085611,1,7,0
2014-07-08,330300280,332660498,358485374,342707532,331341050,282137606,2,8,0
2014-07-09,237821679,363952447,364268994,319358448,358972950,277431859,3,9,0
2014-07-10,254180106,308883169,257959811,498151313,322086055,256164551,4,10,0
2014-07-11,277110154,322207184,253548445,307276813,333222993,284281673,5,11,0
2014-07-12,233743113,266630674,168602028,199382031,169065467,289810759,6,12,1
2014-07-13,149584303,173485119,250453540,238934317,232029485,217992393,7,13,1
2014-07-14,142610813,218339981,332660498,425796747,444554691,383963086,1,14,0
2014-07-15,246080213,272164963,363952447,358485374,342707532,331341050,2,15,0
2014-07-16,299355385,369452520,308883169,364268994,319358448,358972950,3,16,0
2014-07-17,277080654,278415089,322207184,257959811,498151313,322086055,4,17,0
2014-07-18,254493213,204597291,266630674,253548445,307276813,333222993,5,18,0
2014-07-19,191967546,162854740,173485119,168602028,199382031,169065467,6,19,1
2014-07-20,153934641,122809272,218339981,250453540,238934317,232029485,7,20,1
2014-07-21,174324225,157986108,272164963,332660498,425796747,444554691,1,21,0
2014-07-22,241509367,325273684,369452520,363952447,358485374,342707532,2,22,0
2014-07-23,222479621,307691465,278415089,308883169,364268994,319358448,3,23,0
2014-07-24,281820273,289004852,204597291,322207184,257959811,498151313,4,24,0
2014-07-25,257332381,284291000,162854740,266630674,253548445,307276813,5,25,0
2014-07-26,203397102,233005216,122809272,173485119,168602028,199382031,6,26,1
2014-07-27,198457820,152163398,157986108,218339981,250453540,238934317,7,27,1
2014-07-28,162389176,281734449,325273684,272164963,332660498,425796747,1,28,0
2014-07-29,253136439,393656353,307691465,369452520,363952447,358485374,2,29,0
2014-07-30,325692942,185509598,289004852,278415089,308883169,364268994,3,30,0
2014-07-31,239088792,278053927,284291000,204597291,322207184,257959811,4,31,0
2014-08-01,228056623,269628521,233005216,162854740,266630674,253548445,5,1,0
2014-08-02,378242546,282593743,152163398,122809272,173485119,168602028,6,2,1
2014-08-03,152120792,162090956,281734449,157986108,218339981,250453540,7,3,1
2014-08-04,154077981,121165959,393656353,325273684,272164963,332660498,1,4,0
2014-08-05,254890053,248676024,185509598,307691465,369452520,363952447,2,5,0
2014-08-06,311680953,278473251,278053927,289004852,278415089,308883169,3,6,0
2014-08-07,269143684,247713799,269628521,284291000,204597291,322207184,4,7,0
2014-08-08,256485155,283816788,282593743,233005216,162854740,266630674,5,8,0
2014-08-09,228097887,204391027,162090956,152163398,122809272,173485119,6,9,1
2014-08-10,146751994,143619719,121165959,281734449,157986108,218339981,7,10,1
2014-08-11,164174384,223625820,248676024,393656353,325273684,272164963,1,11,0
2014-08-12,284695009,385895199,278473251,185509598,307691465,369452520,2,12,0
2014-08-13,260705801,254258310,247713799,278053927,289004852,278415089,3,13,0
2014-08-14,262139305,308734578,283816788,269628521,284291000,204597291,4,14,0
2014-08-15,248894735,252702796,204391027,282593743,233005216,162854740,5,15,0
2014-08-16,268968079,221094668,143619719,162090956,152163398,122809272,6,16,1
2014-08-17,158553438,158797400,223625820,121165959,281734449,157986108,7,17,1
2014-08-18,161198309,194379633,385895199,248676024,393656353,325273684,1,18,0
2014-08-19,280533543,385940924,254258310,278473251,185509598,307691465,2,19,0
2014-08-20,236052637,247704409,308734578,247713799,278053927,289004852,3,20,0
2014-08-21,209205785,244720592,252702796,283816788,269628521,284291000,4,21,0
2014-08-22,234392568,185570807,221094668,204391027,282593743,233005216,5,22,0
2014-08-23,182566127,232911054,158797400,143619719,162090956,152163398,6,23,1
2014-08-24,154613502,196780196,194379633,223625820,121165959,281734449,7,24,1
2014-08-25,134164401,209908787,385940924,385895199,248676024,393656353,1,25,0
2014-08-26,283116043,264492485,247704409,254258310,278473251,185509598,2,26,0
2014-08-27,241046273,271225580,244720592,308734578,247713799,278053927,3,27,0
2014-08-28,227515169,345649378,185570807,252702796,283816788,269628521,4,28,0
2014-08-29,240376956,327274182,232911054,221094668,204391027,282593743,5,29,0
2014-08-30,214114844,359195182,196780196,158797400,143619719,162090956,6,30,1
2014-08-31,183547267,201759798,209908787,194379633,223625820,121165959,7,31,1
