report_date,yesterday_redeem,week1_redeem,week2_redeem,week3_redeem,week4_redeem,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork
2014-05-09,267751934.0,103269793.0,231507912.0,212558260.0,263431235.0,0,0,0,0,1,0,0,0.2903225806,1.0
2014-05-10,158473997.0,174430184.0,110439209.0,161932743.0,177456118.0,0,0,0,0,0,1,0,0.3225806452,0.0
2014-05-11,258495276.0,282088123.0,241292798.0,175154181.0,199455537.0,0,0,0,0,0,0,1,0.3548387097,0.0
2014-05-12,142970887.0,324920452.0,413667536.0,416482875.0,315904149.0,1,0,0,0,0,0,0,0.3870967742,1.0
2014-05-13,338432936.0,295986647.0,340918574.0,329994810.0,333481946.0,0,1,0,0,0,0,0,0.4193548387,1.0
2014-05-14,250343867.0,221742769.0,274590040.0,289670313.0,258644563.0,0,0,1,0,0,0,0,0.4516129032,1.0
2014-05-15,297491596.0,267751934.0,113440731.0,348965167.0,259158950.0,0,0,0,1,0,0,0,0.4838709677,1.0
2014-05-16,435249186.0,158473997.0,103269793.0,231507912.0,212558260.0,0,0,0,0,1,0,0,0.5161290323,1.0
2014-05-17,200510199.0,258495276.0,174430184.0,110439209.0,161932743.0,0,0,0,0,0,1,0,0.5483870968,0.0
2014-05-18,179594252.0,142970887.0,282088123.0,241292798.0,175154181.0,0,0,0,0,0,0,1,0.5806451613,0.0
2014-05-19,145479624.0,338432936.0,324920452.0,413667536.0,416482875.0,1,0,0,0,0,0,0,0.6129032258,1.0
2014-05-20,422101826.0,250343867.0,295986647.0,340918574.0,329994810.0,0,1,0,0,0,0,0,0.6451612903,1.0
2014-05-21,197106347.0,297491596.0,221742769.0,274590040.0,289670313.0,0,0,1,0,0,0,0,0.6774193548,1.0
2014-05-22,292385050.0,435249186.0,267751934.0,113440731.0,348965167.0,0,0,0,1,0,0,0,0.7096774194,1.0
2014-05-23,295631432.0,200510199.0,158473997.0,103269793.0,231507912.0,0,0,0,0,1,0,0,0.7419354839,1.0
2014-05-24,223981714.0,179594252.0,258495276.0,174430184.0,110439209.0,0,0,0,0,0,1,0,0.7741935484,0.0
2014-05-25,233305829.0,145479624.0,142970887.0,282088123.0,241292798.0,0,0,0,0,0,0,1,0.8064516129,0.0
2014-05-26,147245163.0,422101826.0,338432936.0,324920452.0,413667536.0,1,0,0,0,0,0,0,0.8387096774,1.0
2014-05-27,415178334.0,197106347.0,250343867.0,295986647.0,340918574.0,0,1,0,0,0,0,0,0.8709677419,1.0
2014-05-28,369000169.0,292385050.0,297491596.0,221742769.0,274590040.0,0,0,1,0,0,0,0,0.9032258065,1.0
2014-05-29,381785376.0,295631432.0,435249186.0,267751934.0,113440731.0,0,0,0,1,0,0,0,0.935483871,1.0
2014-05-30,402129748.0,223981714.0,200510199.0,158473997.0,103269793.0,0,0,0,0,1,0,0,0.9677419355,1.0
2014-05-31,276489019.0,233305829.0,179594252.0,258495276.0,174430184.0,0,0,0,0,0,1,0,1.0,0.0
2014-06-01,153225467.0,147245163.0,145479624.0,142970887.0,282088123.0,0,0,0,0,0,0,1,0.0333333333,0.0
2014-06-02,111076626.0,415178334.0,422101826.0,338432936.0,324920452.0,1,0,0,0,0,0,0,0.0666666667,0.0
2014-06-03,157408750.0,369000169.0,197106347.0,250343867.0,295986647.0,0,1,0,0,0,0,0,0.1,1.0
2014-06-04,372184784.0,381785376.0,292385050.0,297491596.0,221742769.0,0,0,1,0,0,0,0,0.1333333333,1.0
2014-06-05,327061084.0,402129748.0,295631432.0,435249186.0,267751934.0,0,0,0,1,0,0,0,0.1666666667,1.0
2014-06-06,302841375.0,276489019.0,223981714.0,200510199.0,158473997.0,0,0,0,0,1,0,0,0.2,1.0
2014-06-07,217295228.0,153225467.0,233305829.0,179594252.0,258495276.0,0,0,0,0,0,1,0,0.2333333333,0.0
2014-06-08,206165504.0,111076626.0,147245163.0,145479624.0,142970887.0,0,0,0,0,0,0,1,0.2666666667,0.0
2014-06-09,180076832.0,157408750.0,415178334.0,422101826.0,338432936.0,1,0,0,0,0,0,0,0.3,1.0
2014-06-10,241085611.0,372184784.0,369000169.0,197106347.0,250343867.0,0,1,0,0,0,0,0,0.3333333333,1.0
2014-06-11,282137606.0,327061084.0,381785376.0,292385050.0,297491596.0,0,0,1,0,0,0,0,0.3666666667,1.0
2014-06-12,277431859.0,302841375.0,402129748.0,295631432.0,435249186.0,0,0,0,1,0,0,0,0.4,1.0
2014-06-13,256164551.0,217295228.0,276489019.0,223981714.0,200510199.0,0,0,0,0,1,0,0,0.4333333333,1.0
2014-06-14,284281673.0,206165504.0,153225467.0,233305829.0,179594252.0,0,0,0,0,0,1,0,0.4666666667,0.0
2014-06-15,289810759.0,180076832.0,111076626.0,147245163.0,145479624.0,0,0,0,0,0,0,1,0.5,0.0
2014-06-16,217992393.0,241085611.0,157408750.0,415178334.0,422101826.0,1,0,0,0,0,0,0,0.5333333333,1.0
2014-06-17,383963086.0,282137606.0,372184784.0,369000169.0,197106347.0,0,1,0,0,0,0,0,0.5666666667,1.0
2014-06-18,331341050.0,277431859.0,327061084.0,381785376.0,292385050.0,0,0,1,0,0,0,0,0.6,1.0
2014-06-19,358972950.0,256164551.0,302841375.0,402129748.0,295631432.0,0,0,0,1,0,0,0,0.6333333333,1.0
2014-06-20,322086055.0,284281673.0,217295228.0,276489019.0,223981714.0,0,0,0,0,1,0,0,0.6666666667,1.0
2014-06-21,333222993.0,289810759.0,206165504.0,153225467.0,233305829.0,0,0,0,0,0,1,0,0.7,0.0
2014-06-22,169065467.0,217992393.0,180076832.0,111076626.0,147245163.0,0,0,0,0,0,0,1,0.7333333333,0.0
2014-06-23,232029485.0,383963086.0,241085611.0,157408750.0,415178334.0,1,0,0,0,0,0,0,0.7666666667,1.0
2014-06-24,444554691.0,331341050.0,282137606.0,372184784.0,369000169.0,0,1,0,0,0,0,0,0.8,1.0
2014-06-25,342707532.0,358972950.0,277431859.0,327061084.0,381785376.0,0,0,1,0,0,0,0,0.8333333333,1.0
2014-06-26,319358448.0,322086055.0,256164551.0,302841375.0,402129748.0,0,0,0,1,0,0,0,0.8666666667,1.0
2014-06-27,498151313.0,333222993.0,284281673.0,217295228.0,276489019.0,0,0,0,0,1,0,0,0.9,1.0
2014-06-28,307276813.0,169065467.0,289810759.0,206165504.0,153225467.0,0,0,0,0,0,1,0,0.9333333333,0.0
2014-06-29,199382031.0,232029485.0,217992393.0,180076832.0,111076626.0,0,0,0,0,0,0,1,0.9666666667,0.0
2014-06-30,238934317.0,444554691.0,383963086.0,241085611.0,157408750.0,1,0,0,0,0,0,0,1.0,1.0
2014-07-01,425796747.0,342707532.0,331341050.0,282137606.0,372184784.0,0,1,0,0,0,0,0,0.0322580645,1.0
2014-07-02,358485374.0,319358448.0,358972950.0,277431859.0,327061084.0,0,0,1,0,0,0,0,0.064516129,1.0
2014-07-03,364268994.0,498151313.0,322086055.0,256164551.0,302841375.0,0,0,0,1,0,0,0,0.0967741935,1.0
2014-07-04,257959811.0,307276813.0,333222993.0,284281673.0,217295228.0,0,0,0,0,1,0,0,0.1290322581,1.0
2014-07-05,253548445.0,199382031.0,169065467.0,289810759.0,206165504.0,0,0,0,0,0,1,0,0.1612903226,0.0
2014-07-06,168602028.0,238934317.0,232029485.0,217992393.0,180076832.0,0,0,0,0,0,0,1,0.1935483871,0.0
2014-07-07,250453540.0,425796747.0,444554691.0,383963086.0,241085611.0,1,0,0,0,0,0,0,0.2258064516,1.0
2014-07-08,332660498.0,358485374.0,342707532.0,331341050.0,282137606.0,0,1,0,0,0,0,0,0.2580645161,1.0
2014-07-09,363952447.0,364268994.0,319358448.0,358972950.0,277431859.0,0,0,1,0,0,0,0,0.2903225806,1.0
2014-07-10,308883169.0,257959811.0,498151313.0,322086055.0,256164551.0,0,0,0,1,0,0,0,0.3225806452,1.0
2014-07-11,322207184.0,253548445.0,307276813.0,333222993.0,284281673.0,0,0,0,0,1,0,0,0.3548387097,1.0
2014-07-12,266630674.0,168602028.0,199382031.0,169065467.0,289810759.0,0,0,0,0,0,1,0,0.3870967742,0.0
2014-07-13,173485119.0,250453540.0,238934317.0,232029485.0,217992393.0,0,0,0,0,0,0,1,0.4193548387,0.0
2014-07-14,218339981.0,332660498.0,425796747.0,444554691.0,383963086.0,1,0,0,0,0,0,0,0.4516129032,1.0
2014-07-15,272164963.0,363952447.0,358485374.0,342707532.0,331341050.0,0,1,0,0,0,0,0,0.4838709677,1.0
2014-07-16,369452520.0,308883169.0,364268994.0,319358448.0,358972950.0,0,0,1,0,0,0,0,0.5161290323,1.0
2014-07-17,278415089.0,322207184.0,257959811.0,498151313.0,322086055.0,0,0,0,1,0,0,0,0.5483870968,1.0
2014-07-18,204597291.0,266630674.0,253548445.0,307276813.0,333222993.0,0,0,0,0,1,0,0,0.5806451613,1.0
2014-07-19,162854740.0,173485119.0,168602028.0,199382031.0,169065467.0,0,0,0,0,0,1,0,0.6129032258,0.0
2014-07-20,122809272.0,218339981.0,250453540.0,238934317.0,232029485.0,0,0,0,0,0,0,1,0.6451612903,0.0
2014-07-21,157986108.0,272164963.0,332660498.0,425796747.0,444554691.0,1,0,0,0,0,0,0,0.6774193548,1.0
2014-07-22,325273684.0,369452520.0,363952447.0,358485374.0,342707532.0,0,1,0,0,0,0,0,0.7096774194,1.0
2014-07-23,307691465.0,278415089.0,308883169.0,364268994.0,319358448.0,0,0,1,0,0,0,0,0.7419354839,1.0
2014-07-24,289004852.0,204597291.0,322207184.0,257959811.0,498151313.0,0,0,0,1,0,0,0,0.7741935484,1.0
2014-07-25,284291000.0,162854740.0,266630674.0,253548445.0,307276813.0,0,0,0,0,1,0,0,0.8064516129,1.0
2014-07-26,233005216.0,122809272.0,173485119.0,168602028.0,199382031.0,0,0,0,0,0,1,0,0.8387096774,0.0
2014-07-27,152163398.0,157986108.0,218339981.0,250453540.0,238934317.0,0,0,0,0,0,0,1,0.8709677419,0.0
2014-07-28,281734449.0,325273684.0,272164963.0,332660498.0,425796747.0,1,0,0,0,0,0,0,0.9032258065,1.0
2014-07-29,393656353.0,307691465.0,369452520.0,363952447.0,358485374.0,0,1,0,0,0,0,0,0.935483871,1.0
2014-07-30,185509598.0,289004852.0,278415089.0,308883169.0,364268994.0,0,0,1,0,0,0,0,0.9677419355,1.0
2014-07-31,278053927.0,284291000.0,204597291.0,322207184.0,257959811.0,0,0,0,1,0,0,0,1.0,1.0
