report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend,mfd_daily_yield,mfd_7daily_yield,Interest_1_M,shouldwork,dayofmonth_percent,term_percent
20130820,48319110,27409347,29325894,23304219,16427906,8675669,2,20,0,1.2288,4.54,4.598,,,
20130821,51304276,27002747,23721318,13675014,13151366,9348626,3,21,0,1.2307,4.545,4.862,,,
20130822,45762636,18370111,21981558,10561475,6159040,62652056,4,22,0,1.2187,4.546,5.138,,,
20130823,26545809,18620771,58314359,15546146,20410883,11721842,5,23,0,1.2236,4.548,5.374,,,
20130824,33855284,16009856,51457176,41942573,24942267,5723416,6,24,1,1.2204,4.551,5.4834,,,
20130825,54574111,14426635,35585574,5443051,16648439,32887218,7,25,1,1.2202,4.554,5.67,,,
20130826,17586501,12426430,27409347,43533052,123111835,14375762,1,26,0,1.185,4.546,5.836,,,
20130827,52044963,16794905,27002747,29325894,23304219,16427906,2,27,0,1.2131,4.538,5.913,,,
20130828,49273164,23573930,18370111,23721318,13675014,13151366,3,28,0,1.213,4.528,5.948,,,
20130829,57249467,68685109,18620771,21981558,10561475,6159040,4,29,0,1.3194,4.583,6.004,,,
20130830,31008331,29996101,16009856,58314359,15546146,20410883,5,30,0,1.4113,4.686,6.1089,,,
20130831,29172174,17631447,14426635,51457176,41942573,24942267,6,31,1,1.2201,4.685,5.856,,,
20130901,27720016,12893797,12426430,35585574,5443051,16648439,7,1,1,1.2199,4.685,5.435,,,
20130902,60276302,18155299,16794905,27409347,43533052,123111835,1,2,0,1.4475,4.829,5.33,,,
20130903,42168974,27437595,23573930,27002747,29325894,23304219,2,3,0,1.2339,4.84,5.3,,,
20130904,58345539,20886668,68685109,18370111,23721318,13675014,3,4,0,1.2349,4.852,5.3,,,
20130905,55301172,23688242,29996101,18620771,21981558,10561475,4,5,0,1.2374,4.807,5.178,,,
20130906,42500904,17937329,17631447,16009856,58314359,15546146,5,6,0,1.5058,4.859,5.213,,,
20130907,38650095,22744929,12893797,14426635,51457176,41942573,6,7,1,1.2415,4.87,5.1,,,
20130908,49801798,17830433,18155299,12426430,35585574,5443051,7,8,1,1.2381,4.88,5,,,
20130909,24810658,19393890,27437595,16794905,27409347,43533052,1,9,0,1.44,4.876,4.805,,,
20130910,55565482,22529834,20886668,23573930,27002747,29325894,2,10,0,1.4214,4.979,4.85,,,
20130911,81305151,61880908,23688242,68685109,18370111,23721318,3,11,0,1.2527,4.989,4.713,,,
20130912,93077458,45646088,17937329,29996101,18620771,21981558,4,12,0,1.2598,5.001,4.857,,,
20130913,50035862,16797004,22744929,17631447,16009856,58314359,5,13,0,1.3805,4.932,4.73,,,
20130914,48041116,10624127,17830433,12893797,14426635,51457176,6,14,1,1.2613,4.943,4.613,,,
20130915,34379286,22263774,19393890,18155299,12426430,35585574,7,15,1,1.2611,4.956,4.683,,,
20130916,38956366,17385227,22529834,27437595,16794905,27409347,1,16,0,1.4143,4.942,4.707,,,
20130917,104399397,14276435,61880908,20886668,23573930,27002747,2,17,0,1.2495,4.848,4.814,,,
20130918,75209349,21022169,45646088,23688242,68685109,18370111,3,18,0,1.3366,4.894,5.4,,,
20130919,41969227,17777697,16797004,17937329,29996101,18620771,4,19,0,1.2594,4.893,6.422,,,
20130920,40861546,11095259,10624127,22744929,17631447,16009856,5,20,0,1.2592,4.827,6.477,,,
20130921,33601331,15710134,22263774,17830433,12893797,14426635,6,21,1,1.2569,4.825,6.162,,,
20130922,61641978,23219290,17385227,19393890,18155299,12426430,7,22,1,1.2567,4.822,5.924,,,
20130923,59188234,75805107,14276435,22529834,27437595,16794905,1,23,0,1.2346,4.724,5.334,,,
20130924,37338427,26564396,21022169,61880908,20886668,23573930,2,24,0,1.3281,4.767,5.162,,,
20130925,56008378,26722196,17777697,45646088,23688242,68685109,3,25,0,1.3895,4.796,4.605,,,
20130926,107206248,54563516,11095259,16797004,17937329,29996101,4,26,0,1.4449,4.897,4.6155,,,
20130927,49684160,32334604,15710134,10624127,22744929,17631447,5,27,0,1.3799,4.963,4.869,,,
20130928,51076556,21422361,23219290,22263774,17830433,12893797,6,28,1,1.3138,4.994,4.974,,,
20130929,46758852,37660670,75805107,17385227,19393890,18155299,7,29,1,1.3136,5.026,5.077,,,
20130930,76038490,77461238,26564396,14276435,22529834,27437595,1,30,0,1.3162,5.07,5.269,,,
20131001,49151321,34100714,26722196,21022169,61880908,20886668,2,1,0,1.3181,5.065,4.865,,,
20131002,22858568,8869210,54563516,17777697,45646088,23688242,3,2,0,1.3179,5.026,5.251,,,
20131003,15700008,10393202,32334604,11095259,16797004,17937329,4,3,0,1.3177,4.956,5.325,,,
20131004,7251212,14700007,21422361,15710134,10624127,22744929,5,4,0,1.3175,4.922,5.949,,,
20131005,22868589,12046540,37660670,23219290,22263774,17830433,6,5,1,1.3173,4.924,6.405,,,
20131006,21245166,13019900,77461238,75805107,17385227,19393890,7,6,1,1.3111,4.922,6.121,,,
20131007,40318288,14733990,34100714,26564396,14276435,22529834,1,7,0,1.3109,4.919,6.179,,,
20131008,56730939,82606688,8869210,26722196,21022169,61880908,2,8,0,1.4756,5.006,6.283,,,
20131009,115047417,60758100,10393202,54563516,17777697,45646088,3,9,0,1.2935,4.992,6.378,,,
20131010,67339813,26611167,14700007,32334604,11095259,16797004,4,10,0,1.3088,4.987,6.378,,,
20131011,93642539,36132959,12046540,21422361,15710134,10624127,5,11,0,1.3122,4.985,6.582,,,
20131012,68845671,31646212,13019900,37660670,23219290,22263774,6,12,1,1.3082,4.98,6.704,,,
20131013,95312628,36724035,14733990,77461238,75805107,17385227,7,13,1,1.308,4.978,6.555,,,
20131014,40381173,46888025,82606688,34100714,26564396,14276435,1,14,0,1.2777,4.96,6.365,,,
20131015,158158044,41243215,60758100,8869210,26722196,21022169,2,15,0,1.3456,4.889,6.263,,,
20131016,108776071,58286788,26611167,10393202,54563516,17777697,3,16,0,1.313,4.899,6.28,,,
20131017,156977224,40682099,36132959,14700007,32334604,11095259,4,17,0,1.2908,4.889,6.235,,,
20131018,73354575,45517673,31646212,12046540,21422361,15710134,5,18,0,1.2917,4.878,6.08,,,
20131019,80573607,29644051,36724035,13019900,37660670,23219290,6,19,1,1.2859,4.866,5.596,,,
20131020,47140830,12115532,46888025,14733990,77461238,75805107,7,20,1,1.2857,4.854,5.45,,,
20131021,78146352,27240757,41243215,82606688,34100714,26564396,1,21,0,1.34,4.888,5.296,,,
20131022,92303765,86625521,58286788,60758100,8869210,26722196,2,22,0,1.2698,4.846,5.238,,,
20131023,79936840,29426313,40682099,26611167,10393202,54563516,3,23,0,1.273,4.825,5.4155,,,
20131024,91267273,36092748,45517673,36132959,14700007,32334604,4,24,0,1.2811,4.819,5.423,,,
20131025,78253878,69717843,29644051,31646212,12046540,21422361,5,25,0,1.2758,4.811,5.557,,,
20131026,72866681,62677596,12115532,36724035,13019900,37660670,6,26,1,1.2731,4.804,6.235,,,
20131027,89152724,27504517,27240757,46888025,14733990,77461238,7,27,1,1.2729,4.797,6.765,,,
20131028,58360160,25646394,86625521,41243215,82606688,34100714,1,28,0,1.2428,4.743,7.1012,,,
20131029,175987478,67747746,29426313,58286788,60758100,8869210,2,29,0,1.289,4.754,7.53,,,
20131030,147891369,52687221,36092748,40682099,26611167,10393202,3,30,0,1.2902,4.763,7.656,,,
20131031,123495252,63435426,69717843,45517673,36132959,14700007,4,31,0,1.2965,4.772,6.605,,,
20131101,105655220,93841828,62677596,29644051,31646212,12046540,5,1,0,1.2919,4.781,6.509,,,
20131102,90052647,46678116,27504517,12115532,36724035,13019900,6,2,1,1.2911,4.79,6.57,,,
20131103,60697754,21879168,25646394,27240757,46888025,14733990,7,3,1,1.291,4.8,6.492,,,
20131104,109705314,33749172,67747746,86625521,41243215,82606688,1,4,0,1.2888,4.825,6.122,,,
20131105,134705147,108318485,52687221,29426313,58286788,60758100,2,5,0,1.2938,4.828,5.913,,,
20131106,170112074,128585154,63435426,36092748,40682099,26611167,3,6,0,1.2917,4.829,5.91,,,
20131107,177181307,131796343,93841828,69717843,45517673,36132959,4,7,0,1.2935,4.827,6.201,,,
20131108,219191421,149424128,46678116,62677596,29644051,31646212,5,8,0,1.292,4.827,6.475,,,
20131109,249304249,99248361,21879168,27504517,12115532,36724035,6,9,1,1.2891,4.826,5.925,,,
20131110,123652022,59247170,33749172,25646394,27240757,46888025,7,10,1,1.2889,4.825,5.65,,,
20131111,158993537,123840519,108318485,67747746,86625521,41243215,1,11,0,1.4962,4.938,6.314,,,
20131112,143416540,246064757,128585154,52687221,29426313,58286788,2,12,0,1.4577,5.028,5.675,,,
20131113,173549641,74456493,131796343,63435426,36092748,40682099,3,13,0,1.4097,5.093,6.465,,,
20131114,158376990,54302781,149424128,93841828,69717843,45517673,4,14,0,1.3294,5.112,6.4842,,,
20131115,148622821,42611824,99248361,46678116,62677596,29644051,5,15,0,1.4738,5.212,6.742,,,
20131116,116112820,44380574,59247170,21879168,27504517,12115532,6,16,1,1.3102,5.224,6.693,,,
20131117,85621804,38584607,123840519,33749172,25646394,27240757,7,17,1,1.31,5.235,6.964,,,
20131118,98492364,35055232,246064757,108318485,67747746,86625521,1,18,0,1.321,5.139,7.472,,,
20131119,145222355,65817333,74456493,128585154,52687221,29426313,2,19,0,1.3377,5.073,7.427,,,
20131120,165943591,60013853,54302781,131796343,63435426,36092748,3,20,0,1.3352,5.033,6.95,,,
20131121,149019647,83122720,42611824,149424128,93841828,69717843,4,21,0,1.3442,5.041,6.708,,,
20131122,236672974,75803920,44380574,99248361,46678116,62677596,5,22,0,1.3502,4.973,6.817,,,
20131123,139140591,66623532,38584607,59247170,21879168,27504517,6,23,1,1.3469,4.993,6.995,,,
20131124,85234876,88449004,35055232,123840519,33749172,25646394,7,24,1,1.3467,5.013,6.83,,,
20131125,97522283,60355364,65817333,246064757,108318485,67747746,1,25,0,1.361,5.035,7.333,,,
20131126,188023955,91230946,60013853,74456493,128585154,52687221,2,26,0,1.3774,5.057,7.192,,,
20131127,181397027,79919049,83122720,54302781,131796343,63435426,3,27,0,1.3755,5.079,5.441,,,
20131128,152083973,178457547,75803920,42611824,149424128,93841828,4,28,0,1.3862,5.102,5.4,,,
20131129,152510165,107063218,66623532,44380574,99248361,46678116,5,29,0,1.3879,5.123,5.811,,,
20131130,144836611,96242909,88449004,38584607,59247170,21879168,6,30,1,1.3878,5.145,5.849,,,
20131201,94687796,76461088,60355364,35055232,123840519,33749172,7,1,1,1.3876,5.168,5.758,,,
20131202,179080325,95291329,91230946,65817333,246064757,108318485,1,2,0,1.3882,5.182,5.65,,,
20131203,207768089,107045755,79919049,60013853,74456493,128585154,2,3,0,1.399,5.194,5.629,,,
20131204,176533224,105284341,178457547,83122720,54302781,131796343,3,4,0,1.3982,5.207,5.493,,,
20131205,253181565,91187713,107063218,75803920,42611824,149424128,4,5,0,1.4025,5.216,5.365,,,
20131206,152989262,75925859,96242909,66623532,44380574,99248361,5,6,0,1.3848,5.214,5.2985,,,
20131207,198597129,92725974,76461088,88449004,38584607,59247170,6,7,1,1.3815,5.211,5.2942,,,
20131208,116093484,53512763,95291329,60355364,35055232,123840519,7,8,1,1.3809,5.207,5.22,,,
20131209,127532403,53648650,107045755,91230946,65817333,246064757,1,9,0,1.4227,5.226,5.176,,,
20131210,214664521,152407205,105284341,79919049,60013853,74456493,2,10,0,1.4271,5.241,4.968,,,
20131211,281121012,78077384,91187713,178457547,83122720,54302781,3,11,0,1.42,5.253,4.519,,,
20131212,316266609,126368276,75925859,107063218,75803920,42611824,4,12,0,1.4663,5.288,4.4435,,,
20131213,172183635,117455386,92725974,96242909,66623532,44380574,5,13,0,1.4527,5.325,4.368,,,
20131214,146722615,83443683,53512763,76461088,88449004,38584607,6,14,1,1.4493,5.363,4.316,,,
20131215,134839018,73250223,53648650,95291329,60355364,35055232,7,15,1,1.4491,5.4,4.262,,,
20131216,119396143,59674345,152407205,107045755,91230946,65817333,1,16,0,1.4771,5.43,4.365,,,
20131217,188230089,86266515,78077384,105284341,79919049,60013853,2,17,0,1.4532,5.444,4.45,,,
20131218,212780998,109073593,126368276,91187713,178457547,83122720,3,18,0,1.4542,5.463,4.64,,,
20131219,190985922,91560802,117455386,75925859,107063218,75803920,4,19,0,1.5167,5.491,4.586,,,
20131220,144026114,112370684,83443683,92725974,96242909,66623532,5,20,0,1.513,5.524,4.574,,,
20131221,131176893,148188232,73250223,53512763,76461088,88449004,6,21,1,1.5109,5.558,4.293,,,
20131222,91445173,59536553,59674345,53648650,95291329,60355364,7,22,1,1.5107,5.592,3.872,,,
20131223,140558599,56877147,86266515,152407205,107045755,91230946,1,23,0,1.6189,5.67,3.83,,,
20131224,190330016,179886396,109073593,78077384,105284341,79919049,2,24,0,1.611,5.757,3.868,,,
20131225,182690432,133342747,91560802,126368276,91187713,178457547,3,25,0,1.7012,5.893,3.938,,,
20131226,153343940,212312830,112370684,117455386,75925859,107063218,4,26,0,1.7674,6.032,4.022,,,
20131227,187935531,146764679,148188232,83443683,92725974,96242909,5,27,0,1.803,6.192,4.412,,,
20131228,173898861,252417542,59536553,73250223,53512763,76461088,6,28,1,1.7889,6.346,4.619,,,
20131229,199852196,101848650,56877147,59674345,53648650,95291329,7,29,1,1.7886,6.5,4.895,,,
20131230,173772752,74663175,179886396,86266515,152407205,107045755,1,30,0,1.7947,6.598,5.148,,,
20131231,286491118,103985798,133342747,109073593,78077384,105284341,2,31,0,1.7869,6.696,5.125,,,
20140101,326974771,113254499,212312830,91560802,126368276,91187713,3,1,0,1.7807,6.74,4.835,,,
20140102,335862570,77073258,146764679,112370684,117455386,75925859,4,2,0,1.8092,6.763,4.938,,,
20140103,301179400,124541441,252417542,148188232,83443683,92725974,5,3,0,1.7847,6.753,4.769,,,
20140104,291336871,115361983,101848650,59536553,73250223,53512763,6,4,1,1.7751,6.745,4.617,,,
20140105,155828144,71718874,74663175,56877147,59674345,53648650,7,5,1,1.7748,6.738,4.6,,,
20140106,321343539,106824899,103985798,179886396,86266515,152407205,1,6,0,1.774,6.726,4.6,,,
20140107,371683914,139233405,113254499,133342747,109073593,78077384,2,7,0,1.8086,6.738,4.6,,,
20140108,339901798,110203644,77073258,212312830,91560802,126368276,3,8,0,1.822,6.761,4.597,,,
20140109,271765172,115536959,124541441,146764679,112370684,117455386,4,9,0,1.7647,6.737,4.437,,,
20140110,345036273,121195295,115361983,252417542,148188232,83443683,5,10,0,1.7878,6.738,4.401,,,
20140111,296993855,119859597,71718874,101848650,59536553,73250223,6,11,1,1.7439,6.721,4.375,,,
20140112,178289447,116820618,106824899,74663175,56877147,59674345,7,12,1,1.7434,6.703,4.209,,,
20140113,192128885,80041533,139233405,103985798,179886396,86266515,1,13,0,1.7584,6.695,4.165,,,
20140114,292143045,164389088,110203644,113254499,133342747,109073593,2,14,0,1.7634,6.67,4.102,,,
20140115,337203610,194979118,115536959,77073258,212312830,91560802,3,15,0,1.7295,6.618,4.085,,,
20140116,233318844,114905112,121195295,124541441,146764679,112370684,4,16,0,1.723,6.595,4.06,,,
20140117,490563564,136931314,119859597,115361983,252417542,148188232,5,17,0,1.7139,6.554,3.93,,,
20140118,262046075,154263565,116820618,71718874,101848650,59536553,6,18,1,1.6772,6.517,3.767,,,
20140119,184240864,107190052,80041533,106824899,74663175,56877147,7,19,1,1.6767,6.48,3.808,,,
20140120,301523785,117846810,164389088,139233405,103985798,179886396,1,20,0,1.7235,6.46,3.9511,,,
20140121,312028349,259973410,194979118,110203644,113254499,133342747,2,21,0,1.6958,6.423,4.32,,,
20140122,337095722,176724296,114905112,115536959,77073258,212312830,3,22,0,1.6853,6.398,4.286,,,
20140123,462593233,183458941,136931314,121195295,124541441,146764679,4,23,0,1.7491,6.413,4.6,,,
20140124,294368520,332744686,154263565,119859597,115361983,252417542,5,24,0,1.7296,6.422,4.593,,,
20140125,450511317,188651670,107190052,116820618,71718874,101848650,6,25,1,1.6815,6.424,4.604,,,
20140126,349192126,131010888,117846810,80041533,106824899,74663175,7,26,1,1.695,6.434,4.5,,,
20140127,446945594,214348269,259973410,164389088,139233405,103985798,1,27,0,1.6915,6.416,4.058,,,
20140128,715461017,260269121,176724296,194979118,110203644,113254499,2,28,0,1.7398,6.441,3.941,,,
20140129,870587680,256692351,183458941,114905112,115536959,77073258,3,29,0,1.6693,6.432,3.882,,,
20140130,1183825013,274603869,332744686,136931314,121195295,124541441,4,30,0,1.6193,6.36,3.79,,,
20140131,242566772,99811984,188651670,154263565,119859597,115361983,5,31,0,1.609,6.293,3.773,,,
20140201,90124260,29125625,131010888,107190052,116820618,71718874,6,1,1,1.6086,6.253,3.66,,,
20140202,101183694,51483587,214348269,117846810,80041533,106824899,7,2,1,1.6083,6.205,3.617,,,
20140203,86649833,35016210,260269121,259973410,164389088,139233405,1,3,0,1.608,6.158,3.5675,,,
20140204,85303404,92071628,256692351,176724296,194979118,110203644,2,4,0,1.6078,6.085,3.651,,,
20140205,92866528,61618152,274603869,183458941,114905112,115536959,3,5,0,1.6072,6.051,3.69,,,
20140206,162119647,70100225,99811984,332744686,136931314,121195295,4,6,0,1.6069,6.044,3.736,,,
20140207,225661839,89786438,29125625,188651670,154263565,119859597,5,7,0,1.7017,6.096,4.095,,,
20140208,621409043,356235057,51483587,131010888,107190052,116820618,6,8,1,1.6795,6.135,4.2,,,
20140209,315242286,134579390,35016210,214348269,117846810,80041533,7,9,1,1.6792,6.174,4.203,,,
20140210,336607101,143211947,92071628,260269121,259973410,164389088,1,10,0,1.7004,6.225,4.0685,,,
20140211,632298767,418611061,61618152,256692351,176724296,194979118,2,11,0,1.677,6.263,4.1,,,
20140212,670470102,315239225,70100225,274603869,183458941,114905112,3,12,0,1.6702,6.298,4,,,
20140213,551106906,425221290,89786438,99811984,332744686,136931314,4,13,0,1.6705,6.334,3.94,,,
20140214,461212821,301079648,356235057,29125625,188651670,154263565,5,14,0,1.661,6.311,3.877,,,
20140215,522331058,233371566,134579390,51483587,131010888,107190052,6,15,1,1.6566,6.298,3.861,,,
20140216,305214647,110240413,143211947,35016210,214348269,117846810,7,16,1,1.6563,6.286,3.716,,,
20140217,361250311,139432186,418611061,92071628,260269121,259973410,1,17,0,1.6526,6.259,3.931,,,
20140218,675485671,314699059,315239225,61618152,256692351,176724296,2,18,0,1.6433,6.241,3.878,,,
20140219,422741202,246229299,425221290,70100225,274603869,183458941,3,19,0,1.6337,6.22,3.984,,,
20140220,642931201,247608257,301079648,89786438,99811984,332744686,4,20,0,1.6358,6.201,4.161,,,
20140221,527167832,276717727,233371566,356235057,29125625,188651670,5,21,0,1.6282,6.183,4.159,,,
20140222,394746918,206572952,110240413,134579390,51483587,131010888,6,22,1,1.6247,6.165,4.381,,,
20140223,235659822,129881807,139432186,143211947,35016210,214348269,7,23,1,1.6238,6.147,4.719,,,
20140224,308396249,237023147,314699059,418611061,92071628,260269121,1,24,0,1.6323,6.136,4.814,,,
20140225,595170010,326481227,246229299,315239225,61618152,256692351,2,25,0,1.6039,6.114,5.058,,,
20140226,713994252,349836501,247608257,425221290,70100225,274603869,3,26,0,1.596,6.093,4.941,,,
20140227,486006154,476270827,276717727,301079648,89786438,99811984,4,27,0,1.5792,6.062,4.972,,,
20140228,537812517,660825256,206572952,233371566,356235057,29125625,5,28,0,1.572,6.031,5.233,,,
20140301,420504763,282310184,129881807,110240413,134579390,51483587,6,1,1,1.5698,6.001,5.435,,,
20140302,215356482,148429245,237023147,139432186,143211947,35016210,7,2,1,1.5695,5.971,5.526,,,
20140303,275779265,163786963,326481227,314699059,418611061,92071628,1,3,0,1.5559,5.928,5.638,,,
20140304,523895828,360144530,349836501,246229299,315239225,61618152,2,4,0,1.5429,5.895,5.492,,,
20140305,521644375,278261421,476270827,247608257,425221290,70100225,3,5,0,1.5411,5.864,5.035,,,
20140306,497668868,275381156,660825256,276717727,301079648,89786438,4,6,0,1.5259,5.835,5.012,,,
20140307,495755683,366030834,282310184,206572952,233371566,356235057,5,7,0,1.517,5.805,5.004,,,
20140308,492623841,274009352,148429245,129881807,110240413,134579390,6,8,1,1.5148,5.774,5.001,,,
20140309,215355021,157996615,163786963,237023147,139432186,143211947,7,9,1,1.5145,5.744,4.891,,,
20140310,296559440,169872578,360144530,326481227,314699059,418611061,1,10,0,1.5048,5.716,4.132,,,
20140311,533357693,296534165,278261421,349836501,246229299,315239225,2,11,0,1.4965,5.69,4.063,,,
20140312,488913889,267437055,275381156,476270827,247608257,425221290,3,12,0,1.4997,5.668,4.047,,,
20140313,317050657,298538230,366030834,660825256,276717727,301079648,4,13,0,1.4878,5.647,4.046,,,
20140314,438410772,255918695,274009352,282310184,206572952,233371566,5,14,0,1.4831,5.628,4.1,,,
20140315,319556555,270497983,157996615,148429245,129881807,110240413,6,15,1,1.4818,5.61,4.1545,,,
20140316,201137958,242196362,169872578,163786963,237023147,139432186,7,16,1,1.4816,5.592,4.163,,,
20140317,219592025,188184766,296534165,360144530,326481227,314699059,1,17,0,1.4628,5.568,4.313,,,
20140318,411958428,420064650,267437055,278261421,349836501,246229299,2,18,0,1.4726,5.555,4.417,,,
20140319,302616910,341931886,298538230,275381156,476270827,247608257,3,19,0,1.4786,5.544,4.492,,,
20140320,295342178,414884867,255918695,366030834,660825256,276717727,4,20,0,1.4772,5.538,4.588,,,
20140321,302584612,304013906,270497983,274009352,282310184,206572952,5,21,0,1.4787,5.535,4.73,,,
20140322,274386390,280963645,242196362,157996615,148429245,129881807,6,22,1,1.4638,5.526,5.03,,,
20140323,145506447,200897470,188184766,169872578,163786963,237023147,7,23,1,1.4636,5.516,5.115,,,
20140324,167604758,160853972,420064650,296534165,360144530,326481227,1,24,0,1.4542,5.511,5.271,,,
20140325,330726069,318658552,341931886,267437055,278261421,349836501,2,25,0,1.446,5.496,5.278,,,
20140326,337425152,362444778,414884867,298538230,275381156,476270827,3,26,0,1.4345,5.472,4.95,,,
20140327,426653122,257938486,304013906,255918695,366030834,660825256,4,27,0,1.4273,5.445,4.398,,,
20140328,266160879,326543305,280963645,270497983,274009352,282310184,5,28,0,1.4255,5.415,4.141,,,
20140329,223771699,372161003,200897470,242196362,157996615,148429245,6,29,1,1.4259,5.395,4.144,,,
20140330,194925803,138171183,160853972,188184766,169872578,163786963,7,30,1,1.4257,5.374,4.2,,,
20140331,161565264,256893459,318658552,420064650,296534165,360144530,1,31,0,1.431,5.361,4.21,,,
20140401,377931423,497687416,362444778,341931886,267437055,278261421,2,1,0,1.4368,5.356,4.105,1,0.0333333333,0.4
20140402,424784984,280407782,257938486,414884867,298538230,275381156,3,2,0,1.437,5.357,4.056,1,0.0666666667,0.6
20140403,418550858,234601543,326543305,304013906,255918695,366030834,4,3,0,1.4364,5.362,4.104,1,0.1,0.8
20140404,301858010,259172151,372161003,280963645,270497983,274009352,5,4,0,1.4338,5.367,4.161,1,0.1333333333,1
20140405,235574221,171218775,138171183,200897470,242196362,157996615,6,5,1,1.4318,5.37,4.101,0,0.1666666667,0.3333333333
