report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,shouldwork
20130901,27720016,12893797,17586501,45069353,42840984,45251520,7,1,
20130902,60276302,18155299,52044963,48319110,33901418,51533056,1,2,
20130903,42168974,27437595,49273164,51304276,45856548,27348705,2,3,
20130904,58345539,20886668,57249467,45762636,39066415,24953363,3,4,
20130905,55301172,23688242,31008331,26545809,29238678,44702970,4,5,
20130906,42500904,17937329,29172174,33855284,54635823,46197838,5,6,
20130907,38650095,22744929,27720016,54574111,15688245,44403831,6,7,
20130908,49801798,17830433,60276302,17586501,45069353,42840984,7,8,
20130909,24810658,19393890,42168974,52044963,48319110,33901418,1,9,
20130910,55565482,22529834,58345539,49273164,51304276,45856548,2,10,
20130911,81305151,61880908,55301172,57249467,45762636,39066415,3,11,
20130912,93077458,45646088,42500904,31008331,26545809,29238678,4,12,
20130913,50035862,16797004,38650095,29172174,33855284,54635823,5,13,
20130914,48041116,10624127,49801798,27720016,54574111,15688245,6,14,
20130915,34379286,22263774,24810658,60276302,17586501,45069353,7,15,
20130916,38956366,17385227,55565482,42168974,52044963,48319110,1,16,
20130917,104399397,14276435,81305151,58345539,49273164,51304276,2,17,
20130918,75209349,21022169,93077458,55301172,57249467,45762636,3,18,
20130919,41969227,17777697,50035862,42500904,31008331,26545809,4,19,
20130920,40861546,11095259,48041116,38650095,29172174,33855284,5,20,
20130921,33601331,15710134,34379286,49801798,27720016,54574111,6,21,
20130922,61641978,23219290,38956366,24810658,60276302,17586501,7,22,
20130923,59188234,75805107,104399397,55565482,42168974,52044963,1,23,
20130924,37338427,26564396,75209349,81305151,58345539,49273164,2,24,
20130925,56008378,26722196,41969227,93077458,55301172,57249467,3,25,
20130926,107206248,54563516,40861546,50035862,42500904,31008331,4,26,
20130927,49684160,32334604,33601331,48041116,38650095,29172174,5,27,
20130928,51076556,21422361,61641978,34379286,49801798,27720016,6,28,
20130929,46758852,37660670,59188234,38956366,24810658,60276302,7,29,
20130930,76038490,77461238,37338427,104399397,55565482,42168974,1,30,
20131001,49151321,34100714,56008378,75209349,81305151,58345539,2,1,
20131002,22858568,8869210,107206248,41969227,93077458,55301172,3,2,
20131003,15700008,10393202,49684160,40861546,50035862,42500904,4,3,
20131004,7251212,14700007,51076556,33601331,48041116,38650095,5,4,
20131005,22868589,12046540,46758852,61641978,34379286,49801798,6,5,
20131006,21245166,13019900,76038490,59188234,38956366,24810658,7,6,
20131007,40318288,14733990,49151321,37338427,104399397,55565482,1,7,
20131008,56730939,82606688,22858568,56008378,75209349,81305151,2,8,
20131009,115047417,60758100,15700008,107206248,41969227,93077458,3,9,
20131010,67339813,26611167,7251212,49684160,40861546,50035862,4,10,
20131011,93642539,36132959,22868589,51076556,33601331,48041116,5,11,
20131012,68845671,31646212,21245166,46758852,61641978,34379286,6,12,
20131013,95312628,36724035,40318288,76038490,59188234,38956366,7,13,
20131014,40381173,46888025,56730939,49151321,37338427,104399397,1,14,
20131015,158158044,41243215,115047417,22858568,56008378,75209349,2,15,
20131016,108776071,58286788,67339813,15700008,107206248,41969227,3,16,
20131017,156977224,40682099,93642539,7251212,49684160,40861546,4,17,
20131018,73354575,45517673,68845671,22868589,51076556,33601331,5,18,
20131019,80573607,29644051,95312628,21245166,46758852,61641978,6,19,
20131020,47140830,12115532,40381173,40318288,76038490,59188234,7,20,
20131021,78146352,27240757,158158044,56730939,49151321,37338427,1,21,
20131022,92303765,86625521,108776071,115047417,22858568,56008378,2,22,
20131023,79936840,29426313,156977224,67339813,15700008,107206248,3,23,
20131024,91267273,36092748,73354575,93642539,7251212,49684160,4,24,
20131025,78253878,69717843,80573607,68845671,22868589,51076556,5,25,
20131026,72866681,62677596,47140830,95312628,21245166,46758852,6,26,
20131027,89152724,27504517,78146352,40381173,40318288,76038490,7,27,
20131028,58360160,25646394,92303765,158158044,56730939,49151321,1,28,
20131029,175987478,67747746,79936840,108776071,115047417,22858568,2,29,
20131030,147891369,52687221,91267273,156977224,67339813,15700008,3,30,
20131031,123495252,63435426,78253878,73354575,93642539,7251212,4,31,
20131101,105655220,93841828,72866681,80573607,68845671,22868589,5,1,
20131102,90052647,46678116,89152724,47140830,95312628,21245166,6,2,
20131103,60697754,21879168,58360160,78146352,40381173,40318288,7,3,
20131104,109705314,33749172,175987478,92303765,158158044,56730939,1,4,
20131105,134705147,108318485,147891369,79936840,108776071,115047417,2,5,
20131106,170112074,128585154,123495252,91267273,156977224,67339813,3,6,
20131107,177181307,131796343,105655220,78253878,73354575,93642539,4,7,
20131108,219191421,149424128,90052647,72866681,80573607,68845671,5,8,
20131109,249304249,99248361,60697754,89152724,47140830,95312628,6,9,
20131110,123652022,59247170,109705314,58360160,78146352,40381173,7,10,
20131111,158993537,123840519,134705147,175987478,92303765,158158044,1,11,
20131112,143416540,246064757,170112074,147891369,79936840,108776071,2,12,
20131113,173549641,74456493,177181307,123495252,91267273,156977224,3,13,
20131114,158376990,54302781,219191421,105655220,78253878,73354575,4,14,
20131115,148622821,42611824,249304249,90052647,72866681,80573607,5,15,
20131116,116112820,44380574,123652022,60697754,89152724,47140830,6,16,
20131117,85621804,38584607,158993537,109705314,58360160,78146352,7,17,
20131118,98492364,35055232,143416540,134705147,175987478,92303765,1,18,
20131119,145222355,65817333,173549641,170112074,147891369,79936840,2,19,
20131120,165943591,60013853,158376990,177181307,123495252,91267273,3,20,
20131121,149019647,83122720,148622821,219191421,105655220,78253878,4,21,
20131122,236672974,75803920,116112820,249304249,90052647,72866681,5,22,
20131123,139140591,66623532,85621804,123652022,60697754,89152724,6,23,
20131124,85234876,88449004,98492364,158993537,109705314,58360160,7,24,
20131125,97522283,60355364,145222355,143416540,134705147,175987478,1,25,
20131126,188023955,91230946,165943591,173549641,170112074,147891369,2,26,
20131127,181397027,79919049,149019647,158376990,177181307,123495252,3,27,
20131128,152083973,178457547,236672974,148622821,219191421,105655220,4,28,
20131129,152510165,107063218,139140591,116112820,249304249,90052647,5,29,
20131130,144836611,96242909,85234876,85621804,123652022,60697754,6,30,
20131201,94687796,76461088,97522283,98492364,158993537,109705314,7,1,
20131202,179080325,95291329,188023955,145222355,143416540,134705147,1,2,
20131203,207768089,107045755,181397027,165943591,173549641,170112074,2,3,
20131204,176533224,105284341,152083973,149019647,158376990,177181307,3,4,
20131205,253181565,91187713,152510165,236672974,148622821,219191421,4,5,
20131206,152989262,75925859,144836611,139140591,116112820,249304249,5,6,
20131207,198597129,92725974,94687796,85234876,85621804,123652022,6,7,
20131208,116093484,53512763,179080325,97522283,98492364,158993537,7,8,
20131209,127532403,53648650,207768089,188023955,145222355,143416540,1,9,
20131210,214664521,152407205,176533224,181397027,165943591,173549641,2,10,
20131211,281121012,78077384,253181565,152083973,149019647,158376990,3,11,
20131212,316266609,126368276,152989262,152510165,236672974,148622821,4,12,
20131213,172183635,117455386,198597129,144836611,139140591,116112820,5,13,
20131214,146722615,83443683,116093484,94687796,85234876,85621804,6,14,
20131215,134839018,73250223,127532403,179080325,97522283,98492364,7,15,
20131216,119396143,59674345,214664521,207768089,188023955,145222355,1,16,
20131217,188230089,86266515,281121012,176533224,181397027,165943591,2,17,
20131218,212780998,109073593,316266609,253181565,152083973,149019647,3,18,
20131219,190985922,91560802,172183635,152989262,152510165,236672974,4,19,
20131220,144026114,112370684,146722615,198597129,144836611,139140591,5,20,
20131221,131176893,148188232,134839018,116093484,94687796,85234876,6,21,
20131222,91445173,59536553,119396143,127532403,179080325,97522283,7,22,
20131223,140558599,56877147,188230089,214664521,207768089,188023955,1,23,
20131224,190330016,179886396,212780998,281121012,176533224,181397027,2,24,
20131225,182690432,133342747,190985922,316266609,253181565,152083973,3,25,
20131226,153343940,212312830,144026114,172183635,152989262,152510165,4,26,
20131227,187935531,146764679,131176893,146722615,198597129,144836611,5,27,
20131228,173898861,252417542,91445173,134839018,116093484,94687796,6,28,
20131229,199852196,101848650,140558599,119396143,127532403,179080325,7,29,
20131230,173772752,74663175,190330016,188230089,214664521,207768089,1,30,
20131231,286491118,103985798,182690432,212780998,281121012,176533224,2,31,
20140101,326974771,113254499,153343940,190985922,316266609,253181565,3,1,
20140102,335862570,77073258,187935531,144026114,172183635,152989262,4,2,
20140103,301179400,124541441,173898861,131176893,146722615,198597129,5,3,
20140104,291336871,115361983,199852196,91445173,134839018,116093484,6,4,
20140105,155828144,71718874,173772752,140558599,119396143,127532403,7,5,
20140106,321343539,106824899,286491118,190330016,188230089,214664521,1,6,
20140107,371683914,139233405,326974771,182690432,212780998,281121012,2,7,
20140108,339901798,110203644,335862570,153343940,190985922,316266609,3,8,
20140109,271765172,115536959,301179400,187935531,144026114,172183635,4,9,
20140110,345036273,121195295,291336871,173898861,131176893,146722615,5,10,
20140111,296993855,119859597,155828144,199852196,91445173,134839018,6,11,
20140112,178289447,116820618,321343539,173772752,140558599,119396143,7,12,
20140113,192128885,80041533,371683914,286491118,190330016,188230089,1,13,
20140114,292143045,164389088,339901798,326974771,182690432,212780998,2,14,
20140115,337203610,194979118,271765172,335862570,153343940,190985922,3,15,
20140116,233318844,114905112,345036273,301179400,187935531,144026114,4,16,
20140117,490563564,136931314,296993855,291336871,173898861,131176893,5,17,
20140118,262046075,154263565,178289447,155828144,199852196,91445173,6,18,
20140119,184240864,107190052,192128885,321343539,173772752,140558599,7,19,
20140120,301523785,117846810,292143045,371683914,286491118,190330016,1,20,
20140121,312028349,259973410,337203610,339901798,326974771,182690432,2,21,
20140122,337095722,176724296,233318844,271765172,335862570,153343940,3,22,
20140123,462593233,183458941,490563564,345036273,301179400,187935531,4,23,
20140124,294368520,332744686,262046075,296993855,291336871,173898861,5,24,
20140125,450511317,188651670,184240864,178289447,155828144,199852196,6,25,
20140126,349192126,131010888,301523785,192128885,321343539,173772752,7,26,
20140127,446945594,214348269,312028349,292143045,371683914,286491118,1,27,
20140128,715461017,260269121,337095722,337203610,339901798,326974771,2,28,
20140129,870587680,256692351,462593233,233318844,271765172,335862570,3,29,
20140130,1183825013,274603869,294368520,490563564,345036273,301179400,4,30,
20140131,242566772,99811984,450511317,262046075,296993855,291336871,5,31,
20140201,90124260,29125625,349192126,184240864,178289447,155828144,6,1,
20140202,101183694,51483587,446945594,301523785,192128885,321343539,7,2,
20140203,86649833,35016210,715461017,312028349,292143045,371683914,1,3,
20140204,85303404,92071628,870587680,337095722,337203610,339901798,2,4,
20140205,92866528,61618152,1183825013,462593233,233318844,271765172,3,5,
20140206,162119647,70100225,242566772,294368520,490563564,345036273,4,6,
20140207,225661839,89786438,90124260,450511317,262046075,296993855,5,7,
20140208,621409043,356235057,101183694,349192126,184240864,178289447,6,8,
20140209,315242286,134579390,86649833,446945594,301523785,192128885,7,9,
20140210,336607101,143211947,85303404,715461017,312028349,292143045,1,10,
20140211,632298767,418611061,92866528,870587680,337095722,337203610,2,11,
20140212,670470102,315239225,162119647,1183825013,462593233,233318844,3,12,
20140213,551106906,425221290,225661839,242566772,294368520,490563564,4,13,
20140214,461212821,301079648,621409043,90124260,450511317,262046075,5,14,
20140215,522331058,233371566,315242286,101183694,349192126,184240864,6,15,
20140216,305214647,110240413,336607101,86649833,446945594,301523785,7,16,
20140217,361250311,139432186,632298767,85303404,715461017,312028349,1,17,
20140218,675485671,314699059,670470102,92866528,870587680,337095722,2,18,
20140219,422741202,246229299,551106906,162119647,1183825013,462593233,3,19,
20140220,642931201,247608257,461212821,225661839,242566772,294368520,4,20,
20140221,527167832,276717727,522331058,621409043,90124260,450511317,5,21,
20140222,394746918,206572952,305214647,315242286,101183694,349192126,6,22,
20140223,235659822,129881807,361250311,336607101,86649833,446945594,7,23,
20140224,308396249,237023147,675485671,632298767,85303404,715461017,1,24,
20140225,595170010,326481227,422741202,670470102,92866528,870587680,2,25,
20140226,713994252,349836501,642931201,551106906,162119647,1183825013,3,26,
20140227,486006154,476270827,527167832,461212821,225661839,242566772,4,27,
20140228,537812517,660825256,394746918,522331058,621409043,90124260,5,28,
20140301,420504763,282310184,235659822,305214647,315242286,101183694,6,1,
20140302,215356482,148429245,308396249,361250311,336607101,86649833,7,2,
20140303,275779265,163786963,595170010,675485671,632298767,85303404,1,3,
20140304,523895828,360144530,713994252,422741202,670470102,92866528,2,4,
20140305,521644375,278261421,486006154,642931201,551106906,162119647,3,5,
20140306,497668868,275381156,537812517,527167832,461212821,225661839,4,6,
20140307,495755683,366030834,420504763,394746918,522331058,621409043,5,7,
20140308,492623841,274009352,215356482,235659822,305214647,315242286,6,8,
20140309,215355021,157996615,275779265,308396249,361250311,336607101,7,9,
20140310,296559440,169872578,523895828,595170010,675485671,632298767,1,10,
20140311,533357693,296534165,521644375,713994252,422741202,670470102,2,11,
20140312,488913889,267437055,497668868,486006154,642931201,551106906,3,12,
20140313,317050657,298538230,495755683,537812517,527167832,461212821,4,13,
20140314,438410772,255918695,492623841,420504763,394746918,522331058,5,14,
20140315,319556555,270497983,215355021,215356482,235659822,305214647,6,15,
20140316,201137958,242196362,296559440,275779265,308396249,361250311,7,16,
20140317,219592025,188184766,533357693,523895828,595170010,675485671,1,17,
20140318,411958428,420064650,488913889,521644375,713994252,422741202,2,18,
20140319,302616910,341931886,317050657,497668868,486006154,642931201,3,19,
20140320,295342178,414884867,438410772,495755683,537812517,527167832,4,20,
20140321,302584612,304013906,319556555,492623841,420504763,394746918,5,21,
20140322,274386390,280963645,201137958,215355021,215356482,235659822,6,22,
20140323,145506447,200897470,219592025,296559440,275779265,308396249,7,23,
20140324,167604758,160853972,411958428,533357693,523895828,595170010,1,24,
20140325,330726069,318658552,302616910,488913889,521644375,713994252,2,25,
20140326,337425152,362444778,295342178,317050657,497668868,486006154,3,26,
20140327,426653122,257938486,302584612,438410772,495755683,537812517,4,27,
20140328,266160879,326543305,274386390,319556555,492623841,420504763,5,28,
20140329,223771699,372161003,145506447,201137958,215355021,215356482,6,29,
20140330,194925803,138171183,167604758,219592025,296559440,275779265,7,30,
20140331,161565264,256893459,330726069,411958428,533357693,523895828,1,31,
20140401,377931423,497687416,337425152,302616910,488913889,521644375,2,1,1
20140402,424784984,280407782,426653122,295342178,317050657,497668868,3,2,1
20140403,418550858,234601543,266160879,302584612,438410772,495755683,4,3,1
20140404,301858010,259172151,223771699,274386390,319556555,492623841,5,4,1
20140405,235574221,171218775,194925803,145506447,201137958,215355021,6,5,0
20140406,171320519,130175071,161565264,167604758,219592025,296559440,7,6,0
20140407,132973045,86148848,377931423,330726069,411958428,533357693,1,7,0
20140408,237413785,151211943,424784984,337425152,302616910,488913889,2,8,1
20140409,360613734,241500693,418550858,426653122,295342178,317050657,3,9,1
20140410,465391689,301919971,301858010,266160879,302584612,438410772,4,10,1
20140411,325897532,292651452,235574221,223771699,274386390,319556555,5,11,1
20140412,275556141,263431235,171320519,194925803,145506447,201137958,6,12,0
20140413,198643801,177456118,132973045,161565264,167604758,219592025,7,13,0
20140414,202424482,199455537,237413785,377931423,330726069,411958428,1,14,1
20140415,359340606,315904149,360613734,424784984,337425152,302616910,2,15,1
20140416,337278983,333481946,465391689,418550858,426653122,295342178,3,16,1
20140417,344518277,258644563,325897532,301858010,266160879,302584612,4,17,1
20140418,268273324,259158950,275556141,235574221,223771699,274386390,5,18,1
20140419,297030419,212558260,198643801,171320519,194925803,145506447,6,19,0
20140420,131860659,161932743,202424482,132973045,161565264,167604758,7,20,0
20140421,161634908,175154181,359340606,237413785,377931423,330726069,1,21,1
20140422,381369739,416482875,337278983,360613734,424784984,337425152,2,22,1
20140423,268322472,329994810,344518277,465391689,418550858,426653122,3,23,1
20140424,262963640,289670313,268273324,325897532,301858010,266160879,4,24,1
20140425,203798291,348965167,297030419,275556141,235574221,223771699,5,25,1
20140426,320373050,231507912,131860659,198643801,171320519,194925803,6,26,0
20140427,184640194,110439209,161634908,202424482,132973045,161565264,7,27,0
20140428,167611543,241292798,381369739,359340606,237413785,377931423,1,28,1
20140429,285236269,413667536,268322472,337278983,360613734,424784984,2,29,1
20140430,303772841,340918574,262963640,344518277,465391689,418550858,3,30,1
20140501,232262878,274590040,203798291,268273324,325897532,301858010,4,1,0
20140502,197451051,113440731,320373050,297030419,275556141,235574221,5,2,0
20140503,129869154,103269793,184640194,131860659,198643801,171320519,6,3,0
20140504,229609301,174430184,167611543,161634908,202424482,132973045,7,4,1
20140505,297192156,282088123,285236269,381369739,359340606,237413785,1,5,1
20140506,425987710,324920452,303772841,268322472,337278983,360613734,2,6,1
20140507,323536443,295986647,232262878,262963640,344518277,465391689,3,7,1
20140508,406395515,221742769,197451051,203798291,268273324,325897532,4,8,1
20140509,353562072,267751934,129869154,320373050,297030419,275556141,5,9,1
20140510,265472393,158473997,229609301,184640194,131860659,198643801,6,10,0
20140511,227672886,258495276,297192156,167611543,161634908,202424482,7,11,0
20140512,208480221,142970887,425987710,285236269,381369739,359340606,1,12,1
20140513,285228437,338432936,323536443,303772841,268322472,337278983,2,13,1
20140514,362372059,250343867,406395515,232262878,262963640,344518277,3,14,1
20140515,290208996,297491596,353562072,197451051,203798291,268273324,4,15,1
20140516,303286621,435249186,265472393,129869154,320373050,297030419,5,16,1
20140517,254644568,200510199,227672886,229609301,184640194,131860659,6,17,0
20140518,116291491,179594252,208480221,297192156,167611543,161634908,7,18,0
20140519,161097108,145479624,285228437,425987710,285236269,381369739,1,19,1
20140520,347718384,422101826,362372059,323536443,303772841,268322472,2,20,1
20140521,286615315,197106347,290208996,406395515,232262878,262963640,3,21,1
20140522,241015636,292385050,303286621,353562072,197451051,203798291,4,22,1
20140523,273390048,295631432,254644568,265472393,129869154,320373050,5,23,1
20140524,200156003,223981714,116291491,227672886,229609301,184640194,6,24,0
20140525,141641047,233305829,161097108,208480221,297192156,167611543,7,25,0
20140526,169866612,147245163,347718384,285228437,425987710,285236269,1,26,1
20140527,266803815,415178334,286615315,362372059,323536443,303772841,2,27,1
20140528,249676185,369000169,241015636,290208996,406395515,232262878,3,28,1
20140529,268930576,381785376,273390048,303286621,353562072,197451051,4,29,1
20140530,339227554,402129748,200156003,254644568,265472393,129869154,5,30,1
20140531,248860973,276489019,141641047,116291491,227672886,229609301,6,31,0
20140601,128370165,153225467,169866612,161097108,208480221,297192156,7,1,0
20140602,143942297,111076626,266803815,347718384,285228437,425987710,1,2,0
20140603,176770324,157408750,249676185,286615315,362372059,323536443,2,3,1
20140604,285424724,372184784,268930576,241015636,290208996,406395515,3,4,1
20140605,275697613,327061084,339227554,273390048,303286621,353562072,4,5,1
20140606,309000179,302841375,248860973,200156003,254644568,265472393,5,6,1
20140607,255880246,217295228,128370165,141641047,116291491,227672886,6,7,0
20140608,155141863,206165504,143942297,169866612,161097108,208480221,7,8,0
20140609,181144835,180076832,176770324,266803815,347718384,285228437,1,9,1
20140610,442360742,241085611,285424724,249676185,286615315,362372059,2,10,1
20140611,389636668,282137606,275697613,268930576,241015636,290208996,3,11,1
20140612,311384505,277431859,309000179,339227554,273390048,303286621,4,12,1
20140613,267188252,256164551,255880246,248860973,200156003,254644568,5,13,1
20140614,256177180,284281673,155141863,128370165,141641047,116291491,6,14,0
20140615,148539864,289810759,181144835,143942297,169866612,161097108,7,15,0
20140616,201999390,217992393,442360742,176770324,266803815,347718384,1,16,1
20140617,336917078,383963086,389636668,285424724,249676185,286615315,2,17,1
20140618,324524255,331341050,311384505,275697613,268930576,241015636,3,18,1
20140619,266480068,358972950,267188252,309000179,339227554,273390048,4,19,1
20140620,282577514,322086055,256177180,255880246,248860973,200156003,5,20,1
20140621,226974141,333222993,148539864,155141863,128370165,141641047,6,21,0
20140622,186364721,169065467,201999390,181144835,143942297,169866612,7,22,0
20140623,143403001,232029485,336917078,442360742,176770324,266803815,1,23,1
20140624,304220528,444554691,324524255,389636668,285424724,249676185,2,24,1
20140625,298405851,342707532,266480068,311384505,275697613,268930576,3,25,1
20140626,271335080,319358448,282577514,267188252,309000179,339227554,4,26,1
20140627,223576983,498151313,226974141,256177180,255880246,248860973,5,27,1
20140628,186455771,307276813,186364721,148539864,155141863,128370165,6,28,0
20140629,181197896,199382031,143403001,201999390,181144835,143942297,7,29,0
20140630,171945311,238934317,304220528,336917078,442360742,176770324,1,30,1
20140701,331665096,425796747,298405851,324524255,389636668,285424724,2,1,1
20140702,379361211,358485374,271335080,266480068,311384505,275697613,3,2,1
20140703,301263008,364268994,223576983,282577514,267188252,309000179,4,3,1
20140704,205360896,257959811,186455771,226974141,256177180,255880246,5,4,1
20140705,221546458,253548445,181197896,186364721,148539864,155141863,6,5,0
20140706,162447667,168602028,171945311,143403001,201999390,181144835,7,6,0
20140707,163090528,250453540,331665096,304220528,336917078,442360742,1,7,1
20140708,330300280,332660498,379361211,298405851,324524255,389636668,2,8,1
20140709,237821679,363952447,301263008,271335080,266480068,311384505,3,9,1
20140710,254180106,308883169,205360896,223576983,282577514,267188252,4,10,1
20140711,277110154,322207184,221546458,186455771,226974141,256177180,5,11,1
20140712,233743113,266630674,162447667,181197896,186364721,148539864,6,12,0
20140713,149584303,173485119,163090528,171945311,143403001,201999390,7,13,0
20140714,142610813,218339981,330300280,331665096,304220528,336917078,1,14,1
20140715,246080213,272164963,237821679,379361211,298405851,324524255,2,15,1
20140716,299355385,369452520,254180106,301263008,271335080,266480068,3,16,1
20140717,277080654,278415089,277110154,205360896,223576983,282577514,4,17,1
20140718,254493213,204597291,233743113,221546458,186455771,226974141,5,18,1
20140719,191967546,162854740,149584303,162447667,181197896,186364721,6,19,0
20140720,153934641,122809272,142610813,163090528,171945311,143403001,7,20,0
20140721,174324225,157986108,246080213,330300280,331665096,304220528,1,21,1
20140722,241509367,325273684,299355385,237821679,379361211,298405851,2,22,1
20140723,222479621,307691465,277080654,254180106,301263008,271335080,3,23,1
20140724,281820273,289004852,254493213,277110154,205360896,223576983,4,24,1
20140725,257332381,284291000,191967546,233743113,221546458,186455771,5,25,1
20140726,203397102,233005216,153934641,149584303,162447667,181197896,6,26,0
20140727,198457820,152163398,174324225,142610813,163090528,171945311,7,27,0
20140728,162389176,281734449,241509367,246080213,330300280,331665096,1,28,1
20140729,253136439,393656353,222479621,299355385,237821679,379361211,2,29,1
20140730,325692942,185509598,281820273,277080654,254180106,301263008,3,30,1
20140731,239088792,278053927,257332381,254493213,277110154,205360896,4,31,1
20140801,228056623,269628521,203397102,191967546,233743113,221546458,5,1,1
20140802,378242546,282593743,198457820,153934641,149584303,162447667,6,2,0
20140803,152120792,162090956,162389176,174324225,142610813,163090528,7,3,0
20140804,154077981,121165959,253136439,241509367,246080213,330300280,1,4,1
20140805,254890053,248676024,325692942,222479621,299355385,237821679,2,5,1
20140806,311680953,278473251,239088792,281820273,277080654,254180106,3,6,1
20140807,269143684,247713799,228056623,257332381,254493213,277110154,4,7,1
20140808,256485155,283816788,378242546,203397102,191967546,233743113,5,8,1
20140809,228097887,204391027,152120792,198457820,153934641,149584303,6,9,0
20140810,146751994,143619719,154077981,162389176,174324225,142610813,7,10,0
20140811,164174384,223625820,254890053,253136439,241509367,246080213,1,11,1
20140812,284695009,385895199,311680953,325692942,222479621,299355385,2,12,1
20140813,260705801,254258310,269143684,239088792,281820273,277080654,3,13,1
20140814,262139305,308734578,256485155,228056623,257332381,254493213,4,14,1
20140815,248894735,252702796,228097887,378242546,203397102,191967546,5,15,1
20140816,268968079,221094668,146751994,152120792,198457820,153934641,6,16,0
20140817,158553438,158797400,164174384,154077981,162389176,174324225,7,17,0
20140818,161198309,194379633,284695009,254890053,253136439,241509367,1,18,1
20140819,280533543,385940924,260705801,311680953,325692942,222479621,2,19,1
20140820,236052637,247704409,262139305,269143684,239088792,281820273,3,20,1
20140821,209205785,244720592,248894735,256485155,228056623,257332381,4,21,1
20140822,234392568,185570807,268968079,228097887,378242546,203397102,5,22,1
20140823,182566127,232911054,158553438,146751994,152120792,198457820,6,23,0
20140824,154613502,196780196,161198309,164174384,154077981,162389176,7,24,0
20140825,134164401,209908787,280533543,284695009,254890053,253136439,1,25,1
20140826,283116043,264492485,236052637,260705801,311680953,325692942,2,26,1
