report_date,total_purchase_amt
20131215,205882387
20131216,196489931
20131217,193980797
20131218,180215804
20131219,233631357
20131220,133867400
20131221,112000779
20131222,154543217
20131223,198747367
20131224,305406334
20131225,380076148
20131226,220287409
20131227,211118967
20131228,192808006
20131229,161473347
20131230,286358778
20131231,265851934
20140101,330926565
20140102,434956739
20140103,342074805
20140104,186085910
20140105,206030707
20140106,442494042
20140107,589726496
20140108,264025160
20140109,280698487
20140110,237797636
20140111,243403438
20140112,228255344
20140113,447207050
20140114,356907128
20140115,391408718
20140116,374947083
20140117,345426853
20140118,233200688
20140119,185082022
20140120,335761027
20140121,412854611
20140122,498730606
20140123,481450097
20140124,614103894
20140125,440854623
20140126,528402520
20140127,657199484
20140128,843424742
20140129,952479658
20140130,227916211
20140131,87324175
20140201,64287172
20140202,57912761
20140203,84329848
20140204,83653646
20140205,209043990
20140206,227860276
20140207,578818221
20140208,358255468
20140209,341911234
20140210,647465140
20140211,818803205
20140212,763009770
20140213,626698794
20140214,490710434
20140215,255393179
20140216,331324628
20140217,706118060
20140218,593563145
20140219,408367966
20140220,478925191
20140221,353981687
20140222,282022706
20140223,337053711
20140224,656317045
20140225,563505889
20140226,680801145
20140227,672909288
20140228,428721754
20140301,362865580
20140302,276202230
20140303,505305862
20140304,524146340
20140305,454295491
20140306,561787770
20140307,380139779
20140308,243274169
20140309,244752519
20140310,497338076
20140311,430500816
20140312,377007897
20140313,346286910
20140314,315897431
20140315,287407002
20140316,269387391
20140317,339008082
20140318,435479117
20140319,359014064
20140320,365011495
20140321,282351818
20140322,191700135
20140323,167456369
20140324,313180334
20140325,314345006
20140326,272935544
20140327,266231082
20140328,225966355
20140329,160250985
20140330,205533934
20140331,398884905
20140401,453320585
20140402,355347118
20140403,363877120
20140404,251895894
20140405,202336542
20140406,129477254
20140407,196936223
20140408,354770149
20140409,383347565
20140410,386567460
20140411,237829882
20140412,177642053
20140413,208172985
20140414,309853269
20140415,428681231
20140416,387847838
20140417,355792647
20140418,239300383
20140419,268729366
20140420,191259529
20140421,301134667
20140422,285248757
20140423,313677307
20140424,318358891
20140425,220927432
20140426,151625415
20140427,146837951
20140428,324937272
20140429,330607104
20140430,260091330
20140501,193045106
20140502,125336258
20140503,185094488
20140504,303087562
20140505,370924149
20140506,318002728
20140507,417327518
20140508,392838756
20140509,281479009
20140510,287240171
20140511,182424063
20140512,325108597
20140513,275241493
20140514,305474522
20140515,313367089
20140516,231967423
20140517,170983868
20140518,164419642
20140519,259077930
20140520,453955303
20140521,297799722
20140522,344636549
20140523,249546195
20140524,160073254
20140525,166943526
20140526,344890868
20140527,299049555
20140528,276134813
20140529,320549863
20140530,226547701
20140531,146823669
20140601,183489775
20140602,158219402
20140603,270887462
20140604,274460744
20140605,380042567
20140606,301413900
20140607,187801995
20140608,302171269
20140609,366114374
20140610,354031597
20140611,327661453
20140612,332365185
20140613,216923770
20140614,181574530
20140615,166080126
20140616,387308484
20140617,270350693
20140618,335262709
20140619,338609087
20140620,251582530
20140621,177999186
20140622,147180819
20140623,232227670
20140624,245450766
20140625,264663201
20140626,297628039
20140627,264282703
20140628,153826161
20140629,158801540
20140630,334054112
20140701,384428753
20140702,384555819
20140703,297894643
20140704,211649838
20140705,169383796
20140706,199569025
20140707,272182847
20140708,224240103
20140709,278005555
20140710,283095921
20140711,208671021
20140712,177644343
20140713,179759885
20140714,254797524
20140715,334810012
20140716,394890140
20140717,253011280
20140718,208959595
20140719,210318023
20140720,176449304
20140721,378088594
20140722,243084133
20140723,265461894
20140724,277044480
20140725,181641088
20140726,128268053
20140727,151406251
20140728,371762756
20140729,228093046
20140730,209917272
20140731,191728916
20140801,374884735
20140802,189092130
20140803,173825397
20140804,330640884
20140805,394780870
20140806,288821016
20140807,247646474
20140808,233903717
20140809,160262764
20140810,259534870
20140811,331550471
20140812,258493673
20140813,261506619
20140814,257702660
20140815,244551620
20140816,215059736
20140817,149978271
20140818,298499146
20140819,266401973
20140820,308378692
20140821,251763517
20140822,246316056
20140823,141412027
20140824,130195484
20140825,309574223
20140826,306945089
20140827,302194801
20140828,245082751
20140829,267554713
20140830,199708772
20140831,275090213
