report_date,total_redeem_amt
20131228,61383220
20131229,55129989
20131230,179826624
20131231,134232530
20140101,77367755
20140102,190155450
20140103,127714255
20140104,99869074
20140105,156781996
20140106,190917629
20140107,137972793
20140108,213880074
20140109,140391237
20140110,117259153
20140111,71530182
20140112,141505812
20140113,178923772
20140114,159778389
20140115,177618247
20140116,153167426
20140117,127385210
20140118,142869842
20140119,117629351
20140120,442996084
20140121,302825136
20140122,292856188
20140123,209024328
20140124,345829001
20140125,185524856
20140126,331752519
20140127,280645861
20140128,248334316
20140129,215164666
20140130,105288105
20140131,48132389
20140201,61527060
20140202,24395720
20140203,46109194
20140204,44927333
20140205,95407704
20140206,111635336
20140207,273482213
20140208,183432237
20140209,262954049
20140210,431753411
20140211,243058162
20140212,354585919
20140213,362757986
20140214,263261899
20140215,121463693
20140216,183057224
20140217,405809267
20140218,271125324
20140219,323990451
20140220,230855410
20140221,178914448
20140222,134735118
20140223,195214052
20140224,473470156
20140225,299155352
20140226,284819682
20140227,492786036
20140228,322030204
20140301,211279011
20140302,246199417
20140303,513017360
20140304,250562978
20140305,209072753
20140306,243149884
20140307,291087220
20140308,140323202
20140309,206312503
20140310,308040624
20140311,496039886
20140312,416491268
20140313,316973542
20140314,311575572
20140315,242799048
20140316,390584547
20140317,440624592
20140318,410240726
20140319,429298917
20140320,336076380
20140321,259655286
20140322,138039412
20140323,186443311
20140324,437825259
20140325,312710515
20140326,450254233
20140327,359071642
20140328,405443946
20140329,155006056
20140330,264714811
20140331,423852634
20140401,277429358
20140402,272612066
20140403,266605457
20140404,200192637
20140405,163199682
20140406,139576683
20140407,176966561
20140408,250015131
20140409,289330278
20140410,286914864
20140411,277077434
20140412,123295320
20140413,178934722
20140414,415986984
20140415,285293076
20140416,255914640
20140417,265341592
20140418,225952909
20140419,146374940
20140420,161057781
20140421,295635256
20140422,268810141
20140423,278470936
20140424,224536754
20140425,227764292
20140426,158122962
20140427,191915377
20140428,327724735
20140429,307578349
20140430,281835975
20140501,143362755
20140502,121222064
20140503,199568043
20140504,413222034
20140505,309330781
20140506,341108696
20140507,239372999
20140508,273187499
20140509,247743971
20140510,147248328
20140511,152945581
20140512,293952908
20140513,257918375
20140514,316225442
20140515,238307643
20140516,282094916
20140517,145854372
20140518,153440019
20140519,293791406
20140520,260040720
20140521,250223726
20140522,251108485
20140523,229000787
20140524,154409868
20140525,231004758
20140526,274707572
20140527,321965845
20140528,415891684
20140529,313827800
20140530,312802179
20140531,142862063
20140601,149829253
20140602,170409506
20140603,385622582
20140604,303978838
20140605,355645445
20140606,274862067
20140607,146203577
20140608,169525332
20140609,287520152
20140610,298190025
20140611,246127540
20140612,236467885
20140613,386799040
20140614,229916191
20140615,116623756
20140616,492349489
20140617,502560223
20140618,421920230
20140619,284956260
20140620,286583065
20140621,231003775
20140622,361285652
20140623,373779624
20140624,428471509
20140625,547295931
20140626,418742109
20140627,399444352
20140628,283400236
20140629,261170799
20140630,456547794
20140701,374164541
20140702,328950951
20140703,289009780
20140704,264494550
20140705,272535138
20140706,195530758
20140707,317612569
20140708,340453063
20140709,269642881
20140710,326009240
20140711,240050748
20140712,149081488
20140713,199459990
20140714,284753279
20140715,261722182
20140716,234775948
20140717,298279385
20140718,208671287
20140719,155464283
20140720,174462836
20140721,434191479
20140722,369043423
20140723,308353077
20140724,347622431
20140725,262874791
20140726,282653341
20140727,166610652
20140728,345986909
20140729,303480103
20140730,250117716
20140731,277194379
20140801,252540858
20140802,172250225
20140803,127125217
20140804,322907524
20140805,221706539
20140806,282346594
20140807,253659514
20140808,311648757
20140809,163611708
20140810,189909225
20140811,418603336
20140812,309754858
20140813,303975517
20140814,211939431
20140815,236516007
20140816,219214339
20140817,139564084
20140818,259169016
20140819,254929877
20140820,202452782
20140821,219963356
20140822,179349206
20140823,199377531
20140824,191080151
20140825,312413411
20140826,285478563
20140827,468164147
20140828,297893861
20140829,273756380
20140830,196374134
20140831,292943033
