report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend,mfd_daily_yield,mfd_7daily_yield,Interest_3_M,shouldwork
20140113,192128885,80041533,371683914,286491118,190330016,188230089,1,13,0,1.7584,6.695,5.5,
20140114,292143045,164389088,339901798,326974771,182690432,212780998,2,14,0,1.7634,6.67,5.5,
20140115,337203610,194979118,271765172,335862570,153343940,190985922,3,15,0,1.7295,6.618,5.5,
20140116,233318844,114905112,345036273,301179400,187935531,144026114,4,16,0,1.723,6.595,5.5,
20140117,490563564,136931314,296993855,291336871,173898861,131176893,5,17,0,1.7139,6.554,5.5,
20140118,262046075,154263565,178289447,155828144,199852196,91445173,6,18,1,1.6772,6.517,5.5,
20140119,184240864,107190052,192128885,321343539,173772752,140558599,7,19,1,1.6767,6.48,5.5,
20140120,301523785,117846810,292143045,371683914,286491118,190330016,1,20,0,1.7235,6.46,5.5,
20140121,312028349,259973410,337203610,339901798,326974771,182690432,2,21,0,1.6958,6.423,5.5,
20140122,337095722,176724296,233318844,271765172,335862570,153343940,3,22,0,1.6853,6.398,5.49,
20140123,462593233,183458941,490563564,345036273,301179400,187935531,4,23,0,1.7491,6.413,5.4982,
20140124,294368520,332744686,262046075,296993855,291336871,173898861,5,24,0,1.7296,6.422,5.5,
20140125,450511317,188651670,184240864,178289447,155828144,199852196,6,25,1,1.6815,6.424,5.495,
20140126,349192126,131010888,301523785,192128885,321343539,173772752,7,26,1,1.695,6.434,5.482,
20140127,446945594,214348269,312028349,292143045,371683914,286491118,1,27,0,1.6915,6.416,5.4655,
20140128,715461017,260269121,337095722,337203610,339901798,326974771,2,28,0,1.7398,6.441,5.4474,
20140129,870587680,256692351,462593233,233318844,271765172,335862570,3,29,0,1.6693,6.432,5.4167,
20140130,1183825013,274603869,294368520,490563564,345036273,301179400,4,30,0,1.6193,6.36,5.3992,
20140131,242566772,99811984,450511317,262046075,296993855,291336871,5,31,0,1.609,6.293,5.3909,
20140201,90124260,29125625,349192126,184240864,178289447,155828144,6,1,1,1.6086,6.253,5.3764,
20140202,101183694,51483587,446945594,301523785,192128885,321343539,7,2,1,1.6083,6.205,5.3414,
20140203,86649833,35016210,715461017,312028349,292143045,371683914,1,3,0,1.608,6.158,5.3198,
20140204,85303404,92071628,870587680,337095722,337203610,339901798,2,4,0,1.6078,6.085,5.2665,
20140205,92866528,61618152,1183825013,462593233,233318844,271765172,3,5,0,1.6072,6.051,5.2418,
20140206,162119647,70100225,242566772,294368520,490563564,345036273,4,6,0,1.6069,6.044,5.2142,
20140207,225661839,89786438,90124260,450511317,262046075,296993855,5,7,0,1.7017,6.096,5.1772,
20140208,621409043,356235057,101183694,349192126,184240864,178289447,6,8,1,1.6795,6.135,5.1215,
20140209,315242286,134579390,86649833,446945594,301523785,192128885,7,9,1,1.6792,6.174,5.0935,
20140210,336607101,143211947,85303404,715461017,312028349,292143045,1,10,0,1.7004,6.225,5.0675,
20140211,632298767,418611061,92866528,870587680,337095722,337203610,2,11,0,1.677,6.263,5.0413,
20140212,670470102,315239225,162119647,1183825013,462593233,233318844,3,12,0,1.6702,6.298,5.0197,
20140213,551106906,425221290,225661839,242566772,294368520,490563564,4,13,0,1.6705,6.334,4.9768,
20140214,461212821,301079648,621409043,90124260,450511317,262046075,5,14,0,1.661,6.311,4.9418,
20140215,522331058,233371566,315242286,101183694,349192126,184240864,6,15,1,1.6566,6.298,4.925,
20140216,305214647,110240413,336607101,86649833,446945594,301523785,7,16,1,1.6563,6.286,4.883,
20140217,361250311,139432186,632298767,85303404,715461017,312028349,1,17,0,1.6526,6.259,4.855,
20140218,675485671,314699059,670470102,92866528,870587680,337095722,2,18,0,1.6433,6.241,4.8393,
20140219,422741202,246229299,551106906,162119647,1183825013,462593233,3,19,0,1.6337,6.22,4.8259,
20140220,642931201,247608257,461212821,225661839,242566772,294368520,4,20,0,1.6358,6.201,4.8181,
20140221,527167832,276717727,522331058,621409043,90124260,450511317,5,21,0,1.6282,6.183,4.8095,
20140222,394746918,206572952,305214647,315242286,101183694,349192126,6,22,1,1.6247,6.165,4.7941,
20140223,235659822,129881807,361250311,336607101,86649833,446945594,7,23,1,1.6238,6.147,4.7862,
20140224,308396249,237023147,675485671,632298767,85303404,715461017,1,24,0,1.6323,6.136,4.7794,
20140225,595170010,326481227,422741202,670470102,92866528,870587680,2,25,0,1.6039,6.114,4.7777,
20140226,713994252,349836501,642931201,551106906,162119647,1183825013,3,26,0,1.596,6.093,4.7825,
20140227,486006154,476270827,527167832,461212821,225661839,242566772,4,27,0,1.5792,6.062,4.7767,
20140228,537812517,660825256,394746918,522331058,621409043,90124260,5,28,0,1.572,6.031,4.7692,
20140301,420504763,282310184,235659822,305214647,315242286,101183694,6,1,1,1.5698,6.001,4.7751,
20140302,215356482,148429245,308396249,361250311,336607101,86649833,7,2,1,1.5695,5.971,4.7761,
20140303,275779265,163786963,595170010,675485671,632298767,85303404,1,3,0,1.5559,5.928,4.7679,
20140304,523895828,360144530,713994252,422741202,670470102,92866528,2,4,0,1.5429,5.895,4.7582,
20140305,521644375,278261421,486006154,642931201,551106906,162119647,3,5,0,1.5411,5.864,4.7478,
20140306,497668868,275381156,537812517,527167832,461212821,225661839,4,6,0,1.5259,5.835,4.7482,
20140307,495755683,366030834,420504763,394746918,522331058,621409043,5,7,0,1.517,5.805,4.7499,
20140308,492623841,274009352,215356482,235659822,305214647,315242286,6,8,1,1.5148,5.774,4.7499,
20140309,215355021,157996615,275779265,308396249,361250311,336607101,7,9,1,1.5145,5.744,4.75,
20140310,296559440,169872578,523895828,595170010,675485671,632298767,1,10,0,1.5048,5.716,4.75,
20140311,533357693,296534165,521644375,713994252,422741202,670470102,2,11,0,1.4965,5.69,4.75,
20140312,488913889,267437055,497668868,486006154,642931201,551106906,3,12,0,1.4997,5.668,4.7495,
20140313,317050657,298538230,495755683,537812517,527167832,461212821,4,13,0,1.4878,5.647,4.75,
20140314,438410772,255918695,492623841,420504763,394746918,522331058,5,14,0,1.4831,5.628,4.749,
20140315,319556555,270497983,215355021,215356482,235659822,305214647,6,15,1,1.4818,5.61,4.7438,
20140316,201137958,242196362,296559440,275779265,308396249,361250311,7,16,1,1.4816,5.592,4.7423,
20140317,219592025,188184766,533357693,523895828,595170010,675485671,1,17,0,1.4628,5.568,4.7461,
20140318,411958428,420064650,488913889,521644375,713994252,422741202,2,18,0,1.4726,5.555,4.7485,
20140319,302616910,341931886,317050657,497668868,486006154,642931201,3,19,0,1.4786,5.544,4.7487,
20140320,295342178,414884867,438410772,495755683,537812517,527167832,4,20,0,1.4772,5.538,4.7448,
20140321,302584612,304013906,319556555,492623841,420504763,394746918,5,21,0,1.4787,5.535,4.7467,
20140322,274386390,280963645,201137958,215355021,215356482,235659822,6,22,1,1.4638,5.526,4.7467,
20140323,145506447,200897470,219592025,296559440,275779265,308396249,7,23,1,1.4636,5.516,4.7465,
20140324,167604758,160853972,411958428,533357693,523895828,595170010,1,24,0,1.4542,5.511,4.7525,
20140325,330726069,318658552,302616910,488913889,521644375,713994252,2,25,0,1.446,5.496,4.7465,
20140326,337425152,362444778,295342178,317050657,497668868,486006154,3,26,0,1.4345,5.472,4.7465,
20140327,426653122,257938486,302584612,438410772,495755683,537812517,4,27,0,1.4273,5.445,4.7465,
20140328,266160879,326543305,274386390,319556555,492623841,420504763,5,28,0,1.4255,5.415,4.739,
20140329,223771699,372161003,145506447,201137958,215355021,215356482,6,29,1,1.4259,5.395,4.7316,
20140330,194925803,138171183,167604758,219592025,296559440,275779265,7,30,1,1.4257,5.374,4.7215,
20140331,161565264,256893459,330726069,411958428,533357693,523895828,1,31,0,1.431,5.361,4.7149,
20140401,377931423,497687416,337425152,302616910,488913889,521644375,2,1,0,1.4368,5.356,4.7081,1
20140402,424784984,280407782,426653122,295342178,317050657,497668868,3,2,0,1.437,5.357,4.7049,1
20140403,418550858,234601543,266160879,302584612,438410772,495755683,4,3,0,1.4364,5.362,4.6982,1
20140404,301858010,259172151,223771699,274386390,319556555,492623841,5,4,0,1.4338,5.367,4.6941,1
20140405,235574221,171218775,194925803,145506447,201137958,215355021,6,5,1,1.4318,5.37,4.6921,0
20140406,171320519,130175071,161565264,167604758,219592025,296559440,7,6,1,1.4314,5.373,4.6916,0
20140407,132973045,86148848,377931423,330726069,411958428,533357693,1,7,0,1.4312,5.373,4.6905,0
20140408,237413785,151211943,424784984,337425152,302616910,488913889,2,8,0,1.4263,5.368,4.6882,1
20140409,360613734,241500693,418550858,426653122,295342178,317050657,3,9,0,1.4239,5.36,4.6834,1
20140410,465391689,301919971,301858010,266160879,302584612,438410772,4,10,0,1.4202,5.351,4.6811,1
20140411,325897532,292651452,235574221,223771699,274386390,319556555,5,11,0,1.4106,5.339,4.6805,1
20140412,275556141,263431235,171320519,194925803,145506447,201137958,6,12,1,1.4099,5.327,4.6791,0
20140413,198643801,177456118,132973045,161565264,167604758,219592025,7,13,1,1.4097,5.315,4.6804,0
20140414,202424482,199455537,237413785,377931423,330726069,411958428,1,14,0,1.4048,5.3,4.6786,1
20140415,359340606,315904149,360613734,424784984,337425152,302616910,2,15,0,1.4022,5.287,4.6764,1
