RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           11     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   28   33     0     0  con    0  1.0D+00  7.0D-02  8.237D-03  1.946D+01
   29   34     0     0  con    0  1.0D+00  1.0D-01  5.361D-02  1.946D+01
   30   35     0     0  con    0  1.0D+00  2.5D-02  6.573D-03  1.946D+01
   31   36     0     0  con    0  1.0D+00  3.1D-02  4.716D-03  1.946D+01
   32   37     0     0  con    0  1.0D+00  5.1D-02  1.267D-02  1.946D+01
   33   38     0     0  con    0  1.0D+00  1.2D-01  5.427D-02  1.946D+01
   34   39     0     0  con    0  1.0D+00  4.8D-02  2.258D-02  1.946D+01
   35   40     0     0  con    0  1.0D+00  1.7D-01  5.002D-02  1.946D+01
   36   41     0     0  con    0  1.0D+00  1.0D-01  1.002D-01  1.946D+01
   37   42     0     0  con    0  1.0D+00  1.5D-01  5.560D-02  1.946D+01
   38   43     0     0  con    0  1.0D+00  6.6D-02  1.578D-02  1.946D+01
   39   44     0     0  con    0  1.0D+00  2.3D-02  1.234D-02  1.946D+01
   40   45     0     0  con    0  1.0D+00  1.2D-01  1.648D-02  1.946D+01
   41   46     0     0  con    0  1.0D+00  1.4D-01  3.385D-02  1.946D+01
   42   47     0     0  con    0  1.0D+00  2.0D-01  1.976D-02  1.946D+01
   43   48     0     0  con    0  1.0D+00  3.2D-01  4.067D-02  1.946D+01
   44   49     0     0  con    0  1.0D+00  9.7D-02  1.649D-01  1.946D+01
   45   50     0     0  con    0  1.0D+00  4.0D-02  8.314D-02  1.946D+01
   46   51     0     0  con    0  1.0D+00  7.5D-02  5.409D-02  1.946D+01
   47   52     0     0  con    0  1.0D+00  6.4D-02  9.607D-02  1.946D+01
   48   53     0     0  con    0  1.0D+00  1.8D-01  1.057D-01  1.946D+01
   49   55     0     0  con    1  3.2D-01  1.7D-01  1.831D-01  1.946D+01
   50   56     0     0  con    0  1.0D+00  1.6D-01  1.703D-02  1.946D+01
   51   57     0     0  con    0  1.0D+00  4.1D-01  6.355D-02  1.946D+01
   52   59     0     0  con    1  4.3D-01  1.8D-01  2.453D-01  1.946D+01
   53   60     0     0  con    0  1.0D+00  1.7D-01  4.518D-02  1.946D+01
   54   61     0     0  con    0  1.0D+00  2.5D-01  1.877D-01  1.946D+01
   55   62     0     0  con    0  1.0D+00  3.2D-01  1.402D-01  1.946D+01
   56   63     0     0  con    0  1.0D+00  1.6D-01  1.185D-01  1.945D+01
   57   64     0     0  con    0  1.0D+00  3.0D-01  8.047D-02  1.945D+01
   58   66     0     0  con    1  5.0D-01  1.5D-01  4.328D-02  1.945D+01
   59   67     0     0  con    0  1.0D+00  1.0D-01  2.967D-02  1.945D+01
   60   68     0     0  con    0  1.0D+00  5.7D-02  1.594D-02  1.945D+01
   61   69     0     0  con    0  1.0D+00  9.3D-02  2.134D-02  1.945D+01
   62   70     0     0  con    0  1.0D+00  1.6D-01  4.660D-02  1.945D+01
   63   71     0     0  con    0  1.0D+00  1.6D-01  3.993D-02  1.945D+01
   64   72     0     0  con    0  1.0D+00  2.5D-01  3.726D-02  1.945D+01
   65   73     0     0  con    0  1.0D+00  6.5D-02  3.091D-02  1.945D+01
   66   74     0     0  con    0  1.0D+00  1.0D-01  2.016D-02  1.945D+01
   67   75     0     0  con    0  1.0D+00  6.3D-02  9.001D-03  1.945D+01
   68   76     0     0  con    0  1.0D+00  4.4D-02  2.341D-03  1.945D+01
   69   78     0     0  con    1  2.0D-01  7.0D-02  2.091D-03  1.945D+01
   70   80     0     0  con    1  1.6D-01  2.2D-02  4.451D-03  1.945D+01
   71   82     0     0  con    1  2.4D-01  7.9D-03  2.312D-02  1.945D+01
   72   83     0     0  con    0  1.0D+00  2.1D-02  1.159D-02  1.945D+01
   73   84     0     0  con    0  1.0D+00  1.8D-02  3.178D-03  1.945D+01
   74   85     0     0  con    0  1.0D+00  5.5D-03  3.498D-03  1.945D+01
   75   86     0     0  con    0  1.0D+00  1.0D-01  1.905D-02  1.945D+01
   76   87     0     0  con    0  1.0D+00  1.9D-02  4.782D-03  1.945D+01
   77   88     0     0  con    0  1.0D+00  1.6D-02  1.557D-02  1.945D+01
   78   89     0     0  con    0  1.0D+00  3.4D-02  2.047D-02  1.945D+01
   79   90     0     0  con    0  1.0D+00  4.2D-02  2.289D-02  1.945D+01
   80   91     0     0  con    0  1.0D+00  8.4D-02  2.946D-02  1.945D+01
   81   92     0     0  con    0  1.0D+00  1.5D-01  7.032D-02  1.945D+01
   82   93     0     0  con    0  1.0D+00  1.1D-01  8.753D-02  1.945D+01
   83   94     0     0  con    0  1.0D+00  3.4D-01  5.001D-02  1.945D+01
   84   96     0     0  con    1  2.3D-01  4.5D-02  1.789D-02  1.945D+01
   85   97     0     0  con    0  1.0D+00  1.2D-01  2.591D-02  1.945D+01
   86   98     0     0  con    0  1.0D+00  2.9D-02  2.185D-03  1.945D+01
   87   99     0     0  con    0  1.0D+00  2.4D-02  8.211D-03  1.945D+01
   88  101     0     0  con    1  5.0D+00  7.5D-02  4.788D-03  1.945D+01
   89  102     0     0  con    0  1.0D+00  4.9D-02  1.893D-02  1.945D+01
   90  105     0     0  con    2  3.6D-01  9.7D-02  3.196D-02  1.945D+01
   91  106     0     0  con    0  1.0D+00  1.4D-02  8.175D-03  1.945D+01
   92  107     0     0  con    0  1.0D+00  1.6D-02  2.407D-03  1.945D+01
   93  109     0     0  con    1  4.7D-01  4.1D-02  3.681D-03  1.945D+01
   94  110     0     0  con    0  1.0D+00  1.2D-02  1.627D-03  1.945D+01
   95  112     0     0  con    1  3.0D-01  7.9D-03  3.017D-03  1.945D+01
   96  115     0     0  con    2  2.2D-01  4.4D-03  7.801D-03  1.945D+01
   97  116     0     0  con    0  1.0D+00  5.9D-03  5.767D-03  1.945D+01
   98  118     0     0  con    1  3.0D-01  3.4D-03  1.376D-03  1.945D+01
   99  119     0     0  con    0  1.0D+00  5.4D-03  4.608D-03  1.945D+01
  100  123     0     0  con    3  4.0D-02  2.9D-04  4.481D-03  1.945D+01
  101  124     0     0  con    0  1.0D+00  5.7D-03  2.178D-03  1.945D+01
  102  125     0     0  con    0  1.0D+00  3.5D-03  4.500D-03  1.945D+01
  103  129     0     0  con    3  1.8D-02  2.3D-04  4.814D-03  1.945D+01
  104  131     0     0  con    1  1.3D-01  3.1D-04  2.232D-03  1.945D+01
  105  133     0     0  con    1  5.0D+00  8.7D-03  4.360D-03  1.945D+01
  106  134     0     0  con    0  1.0D+00  1.3D-03  1.253D-03  1.945D+01
  107  135     0     0  con    0  1.0D+00  3.3D-03  4.716D-03  1.945D+01
  108  136     0     0  con    0  1.0D+00  1.7D-03  2.722D-03  1.945D+01
  109  138     0     0  con    1  2.9D-01  8.3D-03  4.918D-03  1.945D+01
  110  141     0     0  con    2  2.9D+00  7.4D-03  3.686D-03  1.945D+01
  111  143     0     0  con    1  4.2D-01  5.5D-03  1.176D-03  1.945D+01
  112  144     0     0  con    0  1.0D+00  4.9D-03  7.631D-03  1.945D+01
  113  145     0     0  con    0  1.0D+00  7.6D-04  4.147D-03  1.945D+01
  114  146     0     0  con    0  1.0D+00  2.3D-03  1.064D-03  1.945D+01
  115  148     0     0  con    1  5.0D+00  8.0D-03  4.599D-03  1.945D+01
  116  149     0     0  con    0  1.0D+00  1.6D-03  1.383D-02  1.945D+01
  117  150     0     0  con    0  1.0D+00  5.1D-03  8.318D-03  1.945D+01
  118  151     0     0  con    0  1.0D+00  1.3D-02  1.609D-02  1.945D+01
  119  152     0     0  con    0  1.0D+00  3.8D-03  6.870D-03  1.945D+01
  120  153     0     0  con    0  1.0D+00  7.1D-03  8.047D-03  1.945D+01
  121  154     0     0  con    0  1.0D+00  9.1D-03  5.832D-03  1.945D+01
  122  156     0     0  con    1  2.0D-01  1.4D-02  4.101D-03  1.945D+01
  123  158     0     0  con    1  1.2D-01  9.3D-04  2.098D-03  1.945D+01
  124  159     0     0  con    0  1.0D+00  8.7D-03  7.524D-03  1.945D+01
  125  160     0     0  con    0  1.0D+00  3.8D-03  1.040D-02  1.945D+01
  126  161     0     0  con    0  1.0D+00  2.3D-03  5.155D-03  1.945D+01
  127  162     0     0  con    0  1.0D+00  2.1D-02  2.102D-02  1.945D+01
  128  163     0     0  con    0  1.0D+00  7.0D-03  1.297D-02  1.945D+01
  129  164     0     0  con    0  1.0D+00  1.5D-02  5.883D-03  1.945D+01
  130  165     0     0  con    0  1.0D+00  6.3D-03  1.237D-03  1.945D+01
  131  166     0     0  con    0  1.0D+00  5.6D-03  2.916D-03  1.945D+01
  132  167     0     0  con    0  1.0D+00  1.2D-02  3.796D-03  1.945D+01
  133  169     0     0  con    1  3.8D-01  4.6D-03  9.583D-03  1.945D+01
  134  170     0     0  con    0  1.0D+00  1.1D-02  8.874D-03  1.945D+01
  135  171     0     0  con    0  1.0D+00  3.8D-02  3.542D-03  1.945D+01
  136  172     0     0  con    0  1.0D+00  5.1D-03  5.149D-03  1.945D+01
  137  173     0     0  con    0  1.0D+00  1.6D-02  8.912D-03  1.945D+01
  138  174     0     0  con    0  1.0D+00  1.6D-02  1.955D-02  1.945D+01
  139  175     0     0  con    0  1.0D+00  1.7D-01  6.935D-02  1.945D+01
  140  176     0     0  con    0  1.0D+00  3.5D-02  4.062D-02  1.945D+01
  141  177     0     0  con    0  1.0D+00  1.5D-01  6.510D-03  1.945D+01
  142  178     0     0  con    0  1.0D+00  1.1D-01  9.627D-03  1.945D+01
  143  180     0     0  con    1  3.7D-01  4.6D-02  1.176D-02  1.945D+01
  144  182     0     0  con    1  2.0D-01  4.0D-02  3.554D-03  1.945D+01
  145  183     0     0  con    0  1.0D+00  3.2D-02  1.339D-03  1.945D+01
  146  185     0     0  con    1  1.9D-01  4.0D-03  3.009D-03  1.945D+01
  147  186     0     0  con    0  1.0D+00  1.9D-02  2.573D-03  1.945D+01
  148  190     0     0  con    3  2.4D-01  1.2D-02  2.733D-03  1.945D+01
  149  193     0     0  con    2  5.1D-02  2.3D-03  2.968D-03  1.945D+01
  150  194     0     0  con    0  1.0D+00  5.2D-03  1.650D-03  1.945D+01
  151  195     0     0  con    0  1.0D+00  2.4D-03  4.840D-03  1.945D+01
  152  196     0     0  con    0  1.0D+00  2.9D-03  4.220D-03  1.945D+01
  153  197     0     0  con    0  1.0D+00  2.6D-03  2.908D-03  1.945D+01
  154  199     0     0  con    1  5.0D+00  1.5D-02  7.661D-03  1.945D+01
  155  201     0     0  con    1  4.1D-01  4.7D-02  5.697D-03  1.945D+01
  156  203     0     0  con    1  2.0D-01  3.5D-02  1.973D-02  1.945D+01
  157  204     0     0  con    0  1.0D+00  4.5D-02  1.031D-02  1.945D+01
  158  205     0     0  con    0  1.0D+00  5.9D-03  8.797D-04  1.945D+01
  159  206     0     0  con    0  1.0D+00  1.6D-02  1.190D-02  1.945D+01
  160  207     0     0  con    0  1.0D+00  1.2D-02  6.109D-03  1.945D+01
  161  209     0     0  con    1  1.3D-01  3.7D-02  3.435D-03  1.945D+01
  162  210     0     0  con    0  1.0D+00  6.1D-03  7.359D-03  1.945D+01
  163  212     0     0  con    1  4.1D-01  1.1D-02  9.816D-04  1.945D+01
  164  213     0     0  con    0  1.0D+00  1.5D-02  4.525D-03  1.945D+01
  165  214     0     0  con    0  1.0D+00  3.3D-02  5.506D-03  1.945D+01
  166  216     0     0  con    1  1.6D-01  3.0D-02  8.612D-03  1.945D+01
  167  217     0     0  con    0  1.0D+00  2.2D-03  3.365D-03  1.945D+01
  168  218     0     0  con    0  1.0D+00  4.4D-02  1.522D-02  1.945D+01
  169  219     0     0  con    0  1.0D+00  1.2D-02  7.003D-03  1.945D+01
  170  220     0     0  con    0  1.0D+00  1.2D-02  2.400D-03  1.945D+01
  171  222     0     0  con    1  3.3D-01  1.1D-02  1.651D-03  1.945D+01
  172  224     0     0  con    1  5.0D+00  7.1D-02  2.081D-02  1.945D+01
  173  225     0     0  con    0  1.0D+00  2.4D-03  7.574D-03  1.945D+01
  174  226     0     0  con    0  1.0D+00  1.9D-02  1.495D-03  1.945D+01
  175  227     0     0  con    0  1.0D+00  1.4D-03  1.558D-03  1.945D+01
  176  229     0     0  con    1  2.7D-01  1.9D-02  8.120D-03  1.945D+01
  177  230     0     0  con    0  1.0D+00  1.2D-03  4.732D-03  1.945D+01
  178  231     0     0  con    0  1.0D+00  1.4D-02  6.146D-03  1.945D+01
  179  232     0     0  con    0  1.0D+00  5.8D-03  5.362D-03  1.945D+01
  180  234     0     0  con    1  3.8D-01  2.2D-02  6.647D-03  1.945D+01
  181  236     0     0  con    1  2.9D-01  2.4D-02  8.297D-03  1.945D+01
  182  238     0     0  con    1  3.8D-01  8.0D-03  2.556D-03  1.945D+01
  183  239     0     0  con    0  1.0D+00  9.8D-03  5.881D-03  1.945D+01
  184  240     0     0  con    0  1.0D+00  2.6D-02  9.154D-03  1.945D+01
  185  241     0     0  con    0  1.0D+00  3.4D-03  2.600D-03  1.945D+01
  186  242     0     0  con    0  1.0D+00  3.0D-03  6.829D-03  1.945D+01
  187  243     0     0  con    0  1.0D+00  9.9D-03  7.598D-03  1.945D+01
  188  244     0     0  con    0  1.0D+00  6.2D-02  1.158D-03  1.945D+01
  189  245     0     0  con    0  1.0D+00  2.1D-02  7.137D-04  1.945D+01
  190  247     0     0  con    1  2.1D-01  6.9D-03  5.581D-04  1.945D+01
  191  249     0     0  con    1  2.1D-01  1.8D-03  1.396D-03  1.945D+01
  192  271     1     0  ---    1  3.1D-03  6.2D-06  3.286D-04  1.945D+01
  193  272     0     0  con    0  1.0D+00  2.0D-06  3.613D-04  1.945D+01
  194  273     0     0  con    0  1.0D+00  2.2D-05  6.953D-04  1.945D+01
  195  274     0     0  con    0  1.0D+00  2.2D-05  8.725D-04  1.945D+01
  196  276     0     0  con    1  5.0D+00  2.2D-04  1.425D-03  1.945D+01
  197  277     0     0  con    0  1.0D+00  5.4D-04  2.036D-03  1.945D+01
  198  278     0     0  con    0  1.0D+00  4.2D-04  1.342D-03  1.945D+01
  199  279     0     0  con    0  1.0D+00  8.5D-05  4.771D-04  1.945D+01
  200  281     0     0  con    1  2.7D-01  2.4D-04  3.705D-03  1.945D+01
  201  282     0     0  con    0  1.0D+00  2.1D-04  3.582D-03  1.945D+01
  202  283     0     0  con    0  1.0D+00  6.3D-04  2.252D-03  1.945D+01

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

